# ThAr line list for LR; ACS Jun 2016
# lambda line
4910.1576 ThI
4912.5293 ThII
4919.8157 ThII
4927.7803 ThI
4933.2091 ArII
4936.7746 ThI
4937.8295 ThI
4939.6422 ThI
4943.0642 ThI
4945.4587 ThI
4950.6264 ThII
4956.839  ThII 
4957.506  ThI
4965.0795 ArII
4965.7315 ThI
4972.1597 ArII
4980.1859 ThI
4982.4875 ThI
4985.3725 ThI
4989.3086 ThI
4990.0324 ThII
4993.7488 ThI
5002.0972 ThI
5009.3344 ArII
5015.8893 ThII
5017.1628 ArII
5019.8062 ThI
5022.0051 ThI
5028.6556 ThI
5029.8916 ThI
5039.2303 ThI
5040.6805 ThI
5044.7195 ThI
5047.0434 ThI
5048.9366 ThI
5049.7960 ThII
5050.7842 ThI
5051.8887 ThI
5055.3473 ThII
5060.079  ArI
5062.0371 ArII
5064.6020 ThI
5064.9454 ThI
5066.1355 ThI
5067.9737 ThI
5079.9079 ThI
5081.4462 ThI
5084.9935 ThI
5090.5455 ThI
5096.4848 ThI
5098.0432 ThII
5100.6211 ThI
5109.7331 ThI
5111.2781 ThI
5115.0448 ThI
5118.2023 ArI
5125.792  ThI
5128.4897 ThI
5134.7460 ThI
5141.7827 ArII
5143.2673 ThII
5143.9165 ThI
5145.3083 ArII
5151.391  ArI
5154.2430 ThI
5158.6041 ThI
5162.2846 ArI
5163.4584 ThI
5165.7728 ArII
5172.9175 ThII
5176.4037 ThI
5176.9610 ThI
5177.6228 ThI
5187.7462 ArI
5194.4576 ThI
5195.8136 ThI
5198.7999 ThI
5199.1637 ThI
5211.2305 ThI
5213.3492 ThI
5216.5966 ThII
5219.1099 ThI
5221.2710 ArI
5228.2246 ThI
5231.1597 ThI
5234.1069 ThI
5238.8137 ThI
5239.5520 ThI
5247.6547 ThII
5254.471  ArI  
5258.3602 ThI
5260.1041 ThI
5264.7824 ArII
5266.7103 ThI
5269.7927 ThI
5277.5002 ThII
5283.6959 ThI
5286.069  ArI  
5286.8870 ArII
5289.8974 ThII
5291.8163 ThI
5294.3971 ThI
5296.2787 ThI
5297.7431 ThI
5298.2824 ThI
5300.5234 ThI
5307.4655 ThII
5309.6093 ThI
5310.2665 ThII
5312.0018 ThI
5312.5288 ThI
5312.9045 ThI
5317.4944 ThI
5320.7699 ThII
5326.9756 ThI
5329.3745 ThII
5329.7559 ThII
5343.5812 ThI
5347.9714 ThI
5349.0054 ThI
5361.1556 ThI
5362.5751 ThI
5369.4470 ThI
5370.7096 ThI
5374.8219 Th
5375.3526 ThII
5376.7809 ThI
5379.1105 ThI
5382.9276 ThII
5384.0356 ThII
5386.6107 ThI
5390.467  ThII 
5392.5726 ThII
5394.7608 ThI
5397.5160 ArII
5399.1745 Th
5402.6048 ArII
5407.6535 ThI
5410.7687 ThI
5415.5226 ThI
5417.4858 ThI
5421.3517 ArI
5421.6628 ThI
5424.0079 ThI
5425.6783 ThII
5431.1120 ThI
5434.1514 ThI
5435.7236 ThII
5439.9891 ArI
5449.4788 ThII
5450.5104 ThI
5451.6520 ArI
5457.416  ArI 
5459.651  ArI  
5464.2055 ThI
5470.7591 ThI
5473.451  ArI  
5488.6287 ThII
5492.332  ThI  
5492.6435 ThI
5499.2554 ThI
5501.2814 ThI
5504.3018 ThI
5509.9938 ThI
5514.8731 ThI
#
5615.3195 ThI
5635.8792 ThI
5639.7461 ThII
5641.5575 ThI
5645.5249 ThI
5648.6863 ArI
5650.7043 ArI
5657.9255 ThI
5659.1272 ArI
5665.1799 ThI
5667.1281 ThI
5674.9864 ThI
5677.0529 ThI
5681.9001 ArI
5685.1921 ThI
5687.3489 ThI
5691.6612 ArII
5700.9176 ThII
5707.1033 ThII
5719.6227 ThI
5720.1828 ThI
5725.3885 ThI
5732.9750 ThII
5739.5196 ArI
5741.8290 ThI
5748.7412 ThI
5749.3883 ThII
5749.7862 ThI
5753.0265 ThI
5760.5508 ThI
5763.5290 ThI
5768.1812 ThI
5772.1143 ArI
5774.008  ArI
5777.4006 ThI
5782.3139 ThI
5789.6451 ThI
5792.4304 ThI
5796.0683 ThI
5797.3194 ThI
5798.4780 ThI
5800.8297 ThI
5802.0798 ArI
5804.1412 ThI
5812.9725 ThI
5815.4219 ThII
5830.8272 ThI
5832.3705 ThI
5834.2633 ArI
5840.6404 ThI
5843.8069 ThI
5845.9188 ThI
5852.6806 ThI
5853.4745 ThI
5854.1207 ThI
5860.3103 ArI
5863.7184 ThI
5871.1828 ThI
5882.6242 ArI
5885.7016 ThI
5888.5841 ArI
5891.4510 ThI
5895.9281 Th
5899.8441 ThI
5905.5707 ThI
5912.0853 ArI
5914.6709 Th
5916.598  ArI
5918.9442 ThI
5925.4036 ThI
5926.2321 ThI
5927.125  ArI
5928.8130 ArI
5938.8252 ThI
5942.7955 ThII
5944.6472 ThI
5960.7806 ThI
5968.3199 ArI
5969.7373 ThI
5971.6008 ArI
5973.6649 ThI
5975.0648 ThI
5987.3016 ArI
5989.0447 ThII
5991.0071 ThI
5994.1287 ThI
5996.6297 ThI
5998.9987 ArI
6001.2033 ThI
6005.1650 ThI
6005.7242 ArI
6007.0722 ThI
6010.1606 ThI
6013.6777 ArI
6021.0357 ThI
6025.1500 ArI
6030.4450 ThI
6032.1274 ArI
6037.6975 ThI
6038.6805 ThI
6043.2233 ArI
6046.8977 ArII
6049.0510 ThI
6050.9818 ThI
6052.7229 ArI
6053.3808 ThI
6059.3725 ArI
6064.7508 ArI
6069.0207 ThI
6073.1036 ThII
6077.1057 ThI
6077.8728 ThI
6078.4212 ThI
6079.2227 ThI
6085.3748 ThI
6088.0305 ThI
6090.7848 ArI
6098.8031 ArI
6101.1615 ArI
6101.7251 ThI
6105.6351 ArI
6112.8375 ThII
6113.4657 ArI
6114.9234 ArII
6116.1661 ThI
6119.6998 ThI
6121.4075 Th
6123.3619 ArII
6124.4805 ThI
6127.4160 ArI
6138.6465 ThII
6145.4411 ArI
6151.9929 ThI
6154.0682 ThI
6155.2385 ArI
6155.5810 ThI
6157.0878 ThI
6161.3534 ThI
6164.4796 ThI
6165.1232 ArI
6169.8221 ThI
6170.1740 ArI
6172.2778 ArII
6173.0964 ArI
6178.4315 ThI
6180.7050 ThI
6182.6217 ThI
6187.1350 ArII
6188.1251 ThI
6191.9053 ThI
6193.8563 ThII
6198.2227 ThI
6200.4325 ThII
6201.1002 ArII
6203.4925 ThI
6205.8599 ThI
6207.2201 ThI
6208.6869 ThI
6215.9383 ArI
6220.0112 ThI
6221.3192 ThI
6224.5272 ThI
6226.3697 ThI
6232.9745 ThII
6234.8554 ThI
6239.7121 ArII
6240.9536 ThI
6243.1201 ArII
6248.4055 ArI
6257.4237 ThI
6261.0642 ThII
