#INFO	-ref=VIZ5b6c970a1bd80	
#Name: J/A+A/468/1115/table1
#Title: Thorium and argon line list
#Column	Lambda	(F11.6)	Vacuum wavelength	[ucd=em.wl]
#Column	e_Lambda	(F9.6)	Uncertainty on wavelength	[ucd=stat.error]
#Column	Intensity	(I7)	Line peak intensity (in e^-^)	[ucd=phot.flux.density]
#Column	preLambda	(F11.6)	Unkwn Previously-known wavelength	[ucd=em.wl]
#Column	ID	(a6)	Line identification (1)	[ucd=phys.atmol.ionStage]
Name,Obs_Wave,Obs_Unc,Rel_Intensity,Matched_Wave
ThI,3836.798670,0.000123,11988,3836.799316
ThI,3837.047479,0.000110,2539,3837.047602
Unkwn,3837.101546,0.000205,584,
NoID,3837.301730,0.000134,2245,3837.301516
ThI,3837.628480,0.000222,26661,3837.627730
ThI,3837.673857,0.000119,98930,3837.673503
ThI,3837.809522,0.000125,12444,3837.809548
Unkwn,3837.929891,0.000157,788,
ThI,3838.112882,0.000137,1918,3838.112557
NoID,3838.383309,0.000630,1940,3838.382185
NoID,3838.432789,0.000656,1716,3838.431557
ThI,3838.964190,0.000122,130832,3838.963969
NoID,3841.468763,0.000641,3631,3841.470267
ThI,3841.520122,0.000387,7462,3841.519334
NoID,3841.704151,0.000131,2161,3841.704074
ThI,3841.889593,0.000131,29450,3841.889939
Unkwn,3842.138843,0.000127,2402,
ArII,3842.608181,0.000135,16354,3842.608006
ThII,3843.050088,0.000134,14650,3843.049933
ThI,3843.640176,0.000122,2490,3843.640165
ThI,3843.832999,0.000118,3863,3843.833339
ThI,3843.894098,0.000121,3100,3843.893607
ThI,3843.987944,0.000134,24564,3843.986813
ThI,3844.110109,0.000138,5851,3844.110539
NoID,3844.598857,0.000118,2985,3844.598913
ArII,3845.654015,0.000116,3574,3845.652698
ArII,3845.821642,0.000143,6925,3845.821316
ThI,3846.023500,0.000145,4358,3846.023496
ThI,3846.183099,0.000145,4579,3846.183003
Unkwn,3846.397358,0.000142,1068,
ArII,3846.496175,0.000143,47054,3846.495770
ThII,3846.624743,0.000127,1526,3846.627647
ThII,3847.339887,0.000125,1481,3847.340055
ThI,3847.717742,0.000111,5016,3847.717677
Unkwn,3847.926773,0.000924,1964,
ThI,3847.978316,0.000142,21650,3847.978706
ThI,3848.710564,0.000110,5818,3848.711167
Unkwn,3849.720593,0.000135,846,
NoID,3850.151735,0.000120,1486,3850.150080
ThIII,3850.273996,0.000116,1870,3850.274840
ThI,3851.003100,0.000299,5078,3851.003222
Unkwn,3851.059683,0.002085,872,
ThII,3851.225048,0.000112,2707,3851.225955
ThII,3851.375259,0.000124,1159,3851.374844
ArII,3851.673488,0.000105,287908,3851.672819
ThI,3852.166737,0.000108,4070,3852.166797
ThI,3852.250677,0.000106,7304,3852.250522
ThI,3853.227582,0.000159,59418,3853.227705
ThII,3854.051259,0.000124,1132,3854.051658
NoID,3854.884096,0.001593,2060,3854.880287
ThI,3854.921840,0.000556,4416,3854.920573
NoID,3855.220066,0.000120,1281,3855.221654
ThII,3855.603289,0.000162,17652,3855.603902
ThII,3855.969637,0.000910,1085,3855.970509
Unkwn,3856.022279,0.000755,1235,
NoID,3856.159258,0.000111,1950,3856.158531
ArII,3856.252114,0.000109,2516,3856.253493
ThI,3857.611844,0.000167,5183,3857.611129
ThI,3857.717157,0.000165,8577,3857.717726
Unkwn,3857.842165,0.000130,1053,
ThII,3858.601936,0.000173,2521,3858.602708
NoID,3859.997638,0.001757,3940,3859.998011
Unkwn,3860.025911,0.006103,1486,
ThII,3863.753212,0.000667,4788,3863.753093
ThII,3863.801294,0.001216,1601,3863.798073
ThII,3864.501293,0.000159,17403,3864.501264
ArI,3865.363186,0.000169,860,3865.363409
NoID,3865.933176,0.000159,3153,3865.933897
ThI,3866.067061,0.000129,2103,3866.065107
ThII,3867.165849,0.000145,1148,3867.164328
Unkwn,3867.375199,0.000121,2606,
ThI,3868.004626,0.000113,14044,3868.005444
ThII,3868.674754,0.000128,1494,3868.675055
ThII,3868.948613,0.000135,1194,3868.947018
ThI,3869.351878,0.000147,4370,3869.351382
ArII,3869.625305,0.000143,173914,3869.624802
Unkwn,3870.499332,0.000149,760,
ThI,3870.760238,0.000141,33176,3870.760344
Unkwn,3871.276757,0.000126,1306,
Unkwn,3872.168688,0.000154,666,
ThII,3872.553092,0.000127,1136,3872.553760
NoID,3872.714247,0.000114,2584,3872.714936
ArII,3873.234962,0.000108,15722,3873.234624
ThII,3873.457278,0.000119,1599,3873.457911
NoID,3873.601818,0.000110,5142,3873.602671
ThI,3873.768907,0.000195,10393,3873.768587
ThII,3873.820103,0.000152,13449,3873.820043
Unkwn,3873.959752,0.000128,1045,
ThI,3874.245786,0.000107,42419,3874.245824
ThI,3874.516768,0.000237,6175,3874.518030
ThI,3874.571943,0.000107,94974,3874.572029
ThI,3874.920161,0.000106,424686,3874.920481
ThI,3875.341905,0.000106,82454,3875.341968
ThI,3875.960671,0.000106,189023,3875.960294
NoID,3876.076870,0.000106,14146,3876.076621
ArII,3876.363528,0.000105,32694,3876.362548
ThI,3876.471876,0.000105,71726,3876.471611
ThI,3876.745011,0.000106,13544,3876.744717
Unkwn,3877.064522,0.000120,1275,
Unkwn,3877.551796,0.000142,734,
Unkwn,3878.521878,0.001186,1683,
ThI,3878.561866,0.000282,9302,3878.561991
ThI,3878.654883,0.000139,2369,3878.655502
ThI,3878.708611,0.000107,7194,3878.708052
Unkwn,3879.259225,0.000127,909,
Unkwn,3879.422844,0.000129,855,
Unkwn,3879.608432,0.001748,840,
Unkwn,3879.672672,0.000112,8623,
ThI,3879.761672,0.000104,13236,3879.761309
NoID,3879.816337,0.000781,1057,3879.812849
ThI,3880.368188,0.000129,11481,3880.368322
ThI,3880.547224,0.000104,5818,3880.544922
ThI,3880.743712,0.000125,60651,3880.743691
Unkwn,3880.992456,0.000144,677,
Unkwn,3881.084110,0.000129,885,
ThI,3881.293898,0.000129,8958,3881.294595
ArII,3881.432284,0.000130,16202,3881.432530
ThII,3882.599007,0.000114,1560,3882.598107
ThII,3883.244354,0.000139,2253,3883.243225
ThI,3883.424255,0.000141,1923,3883.425138
ThI,3884.868572,0.000142,1916,3884.869001
ThII,3885.624816,0.000142,2070,3885.625359
NoID,3885.729431,0.000114,1784,3885.730354
NoID,3885.920902,0.000136,8494,3885.923478
ThII,3886.168109,0.000138,4813,3886.168528
ThI,3886.325906,0.000138,4362,3886.326489
NoID,3886.505768,0.000142,2486,3886.504915
ThII,3886.869574,0.000139,5034,3886.869341
NoID,3887.106167,0.000116,1822,3887.106139
NoID,3887.731871,0.000152,1495,3887.731686
ThI,3888.017808,0.000132,116315,3888.017416
ThI,3888.121990,0.000137,21460,3888.120983
ThI,3890.644568,0.000147,3139,3890.644428
ThI,3890.711447,0.000152,1846,3890.711153
ThI,3891.008506,0.000147,3106,3891.008206
ThI,3892.307444,0.000149,3184,3892.307087
ArII,3892.504430,0.000145,18085,3892.503896
ThI,3892.622803,0.000152,2427,3892.622825
ThI,3892.828887,0.000146,7677,3892.828743
ArII,3893.082045,0.000146,50971,3893.081469
NoID,3893.314146,0.000135,1200,3893.314826
ThII,3893.410089,0.000121,2325,3893.410945
Unkwn,3893.722650,0.000154,712,
NoID,3893.811803,0.000155,2353,3893.812190
NoID,3894.447469,0.000116,3338,3894.446268
ThI,3894.755139,0.000152,8892,3894.755178
Unkwn,3894.917854,0.000135,1090,
ThII,3895.512098,0.000137,919,3895.513372
ArI,3895.763534,0.000111,16986,3895.763290
ArII,3896.354498,0.000117,2802,3896.353050
ThI,3896.522947,0.000109,129930,3896.522909
Unkwn,3896.759819,0.000112,4407,
Unkwn,3897.270816,0.000128,1051,
Unkwn,3897.378590,0.000149,599,
Unkwn,3898.420853,0.000133,787,
Unkwn,3898.716444,0.000132,837,
ThI,3898.882349,0.000116,1779,3898.881905
Unkwn,3899.458006,0.000122,1352,
ThI,3899.541818,0.000107,46500,3899.541935
ThI,3899.613128,0.000108,8747,3899.614669
NoID,3899.900264,0.000110,3858,3899.901250
Unkwn,3900.813817,0.000108,6832,
Unkwn,3900.982303,0.000108,6682,
ThI,3901.682294,0.000164,19256,3901.681801
ArII,3901.731712,0.000227,11077,3901.731444
ThII,3901.983250,0.000137,17311,3901.983592
ThII,3902.257740,0.000116,1550,3902.257396
ThI,3902.767225,0.000134,18965,3902.767436
NoID,3903.276404,0.000139,4957,3903.276298
NoID,3903.894739,0.000117,1371,3903.894274
Unkwn,3904.050901,0.000115,1572,
ThI,3904.207971,0.000127,53876,3904.208099
Unkwn,3904.413935,0.000131,1162,
ThI,3904.587315,0.000131,9824,3904.587058
NoID,3905.021700,0.000109,2432,3905.022115
NoID,3905.109634,0.000135,3783,3905.109723
ThII,3905.188219,0.000130,9696,3905.188780
ThII,3906.292246,0.000130,6488,3906.292771
Unkwn,3906.401737,0.000233,613,
ThII,3906.463379,0.000135,814,3906.462643
Unkwn,3906.912786,0.000190,441,
Unkwn,3907.414797,0.000123,985,
Unkwn,3907.585420,0.000119,1282,
ThI,3908.266892,0.000130,4654,3908.267063
ThI,3908.650147,0.000133,4923,3908.650079
ThI,3909.855555,0.000128,6974,3909.856277
ThI,3910.087432,0.000129,5748,3910.086956
ThI,3910.245904,0.000127,12448,3910.246318
ThI,3911.628686,0.000132,2777,3911.628627
ThI,3911.881270,0.000128,5738,3911.881138
NoID,3912.084663,0.000710,3535,3912.085395
Unkwn,3912.122218,0.003204,1398,
Unkwn,3912.629396,0.000929,1051,
ArII,3912.684102,0.000180,8416,3912.683690
ThI,3913.017161,0.000135,95548,3913.017135
ThI,3913.061024,0.000221,24469,3913.059717
ThI,3913.318558,0.000135,1868,3913.318416
ThII,3913.390215,0.000129,4107,3913.389122
Unkwn,3913.598799,0.000134,1196,
ThII,3914.113541,0.000129,3977,3914.113592
ThI,3914.190760,0.000126,7271,3914.190164
ThI,3914.753870,0.000127,4938,3914.753441
ThII,3914.932115,0.000400,5491,3914.932372
NoID,3914.973289,0.000619,3164,3914.973540
NoID,3915.273444,0.000127,4955,3915.270891
Unkwn,3915.399404,0.000142,1220,
ArII,3915.876980,0.000124,26200,3915.875666
ThI,3916.403416,0.000127,3464,3916.404242
ThI,3916.957559,0.000124,5517,3916.957907
ThI,3917.526591,0.000114,234600,3917.526800
ThI,3917.707548,0.000127,3104,3917.707258
ThII,3917.833573,0.000127,3277,3917.833565
ThII,3917.905871,0.000130,2467,3917.905739
ThI,3918.378388,0.000120,15959,3918.378698
ArII,3918.877161,0.000120,2458,3918.876436
ThII,3919.117226,0.000150,1200,3919.118410
NoID,3919.179706,0.000120,14663,3919.179711
Unkwn,3919.611132,0.000112,17304,
ThI,3920.043654,0.000120,19575,3920.043331
ThI,3920.133144,0.000117,74920,3920.133274
ThI,3920.385140,0.000292,6202,3920.385348
Unkwn,3920.436683,0.001357,1155,
NoID,3920.570061,0.000114,4817,3920.570204
NoID,3921.089720,0.000113,5138,3921.089855
ThI,3921.167120,0.000113,4461,3921.167715
Unkwn,3921.333729,0.007918,841,
Unkwn,3921.368569,0.000574,3975,
ThII,3921.422870,0.000608,2345,3921.422781
NoID,3921.551844,0.000112,7403,3921.552357
Unkwn,3922.063847,0.000139,707,
Unkwn,3922.321878,0.000162,457,
NoID,3922.505044,0.000125,1540,3922.504537
NoID,3922.563817,0.000112,4634,3922.563790
Unkwn,3922.649113,0.000127,982,
Unkwn,3922.830774,0.002367,313,
ThI,3922.890679,0.000171,2246,3922.890457
ThII,3923.327818,0.000117,1794,3923.329787
Unkwn,3923.857567,0.000141,632,
Unkwn,3924.022693,0.000110,7452,
ThI,3924.910479,0.000108,76716,3924.910650
NoID,3925.515604,0.000108,10200,3925.514663
ThI,3926.205097,0.000106,229581,3926.204890
ThI,3926.330131,0.000107,28853,3926.330574
ThI,3926.708180,0.000107,12872,3926.707255
ArII,3926.830742,0.000106,216491,3926.830118
ArII,3927.157411,0.000127,18702,3927.157018
ThII,3927.817459,0.000123,1050,3927.818372
ThI,3927.975727,0.000107,4400,3927.974877
ThII,3928.288310,0.000109,2764,3928.288157
Unkwn,3928.451411,0.000113,2049,
ThII,3928.533330,0.000107,4077,3928.533733
ThI,3928.918288,0.000126,5249,3928.918401
Unkwn,3929.031757,0.000126,7130,
Unkwn,3929.173875,0.000129,823,
NoID,3929.417905,0.000118,1256,3929.418558
ArII,3929.735911,0.000122,204080,3929.735141
ThI,3929.976286,0.000122,13675,3929.977037
ThI,3930.402680,0.000120,24606,3930.402925
NoID,3930.508869,0.000124,6178,3930.507866
ThII,3930.781812,0.000115,173922,3930.781949
NoID,3931.084112,0.000111,1937,3931.084550
NoID,3931.771075,0.000120,1050,3931.770554
ThI,3932.198057,0.000113,1536,3932.198161
Unkwn,3932.542194,0.000145,676,
Unkwn,3932.620489,0.000149,540,
NoID,3933.111068,0.000168,2077,3933.107377
ThII,3933.339774,0.000127,3809,3933.339710
ArII,3933.660215,0.000124,105302,3933.659664
ThI,3934.024787,0.000118,141439,3934.024768
ThI,3934.147960,0.000103,5339,3934.148878
NoID,3934.202519,0.000155,596,3934.203190
Unkwn,3934.297910,0.000480,1990,
ThI,3934.351280,0.000143,9434,3934.351087
ThII,3934.468265,0.000162,550,3934.467153
Contam,3934.774849,0.000126,24698,3934.774827
NoID,3935.083700,0.000135,1623,3935.084625
ThI,3935.174234,0.000137,1419,3935.173882
NoID,3935.389394,0.000123,11352,3935.388090
NoID,3935.911453,0.000156,1703,3935.912203
ThII,3937.054620,0.000138,1374,3937.053073
Unkwn,3937.140326,0.000159,696,
Unkwn,3937.410221,0.000388,788,
NoID,3937.468052,0.000128,6092,3937.467581
ThII,3938.154423,0.000122,6099,3938.155118
Unkwn,3938.402868,0.000158,1053,
Unkwn,3938.480678,0.000219,678,
Unkwn,3938.974800,0.000178,1172,
ThII,3939.038998,0.000128,4275,3939.038510
Unkwn,3939.210149,0.000430,1493,
ThI,3939.266365,0.000167,3384,3939.267199
ThII,3939.537359,0.000136,1540,3939.537647
ThI,3939.728657,0.000124,15778,3939.729343
NoID,3939.799232,0.000246,11856,3939.798772
NoID,3939.842512,0.001136,1132,3939.841504
ThII,3939.896379,0.000180,3045,3939.895895
NoID,3940.269573,0.000120,5326,3940.274393
ThI,3940.433837,0.000128,3483,3940.433988
Unkwn,3940.653299,0.000138,1357,
Unkwn,3941.312040,0.000173,593,
ThI,3941.820828,0.000129,2746,3941.822546
ThI,3941.957028,0.000109,3320,3941.954235
ThI,3942.250925,0.000139,1031,3942.252980
Unkwn,3942.347957,0.000134,1141,
Unkwn,3942.841971,0.000155,921,
NoID,3943.474535,0.000125,5057,3943.473991
NoID,3943.672000,0.000123,8592,3943.671779
ThII,3943.969126,0.000174,745,3943.969773
ThI,3944.023875,0.000125,5650,3944.024215
Unkwn,3944.105649,0.000167,606,
Unkwn,3944.288450,0.000142,763,
ThII,3944.375749,0.000119,2366,3944.375362
