#INFO	-ref=VIZ5b6c970a1bd80	
#Name: J/A+A/468/1115/table1
#Title: Thorium and argon line list
#Column	Lambda	(F11.6)	Vacuum wavelength	[ucd=em.wl]
#Column	e_Lambda	(F9.6)	Uncertainty on wavelength	[ucd=stat.error]
#Column	Intensity	(I7)	Line peak intensity (in e^-^)	[ucd=phot.flux.density]
#Column	preLambda	(F11.6)	Unkwn Previously-known wavelength	[ucd=em.wl]
#Column	ID	(a6)	Line identification (1)	[ucd=phys.atmol.ionStage]
Name,Obs_Wave,Obs_Unc,Rel_Intensity,Matched_Wave
ThI,4429.987449,0.000127,15128,4429.987780
Unkwn,4430.065604,0.000696,805,
NoID,4430.126448,0.000128,9579,4430.126885
ThII,4430.499862,0.000129,3087,4430.500498
NoID,4430.596768,0.000131,2074,4430.596703
ThI,4431.066728,0.000127,8233,4431.066562
ArII,4432.240605,0.000125,402952,4432.240006
ThI,4432.658245,0.000128,2536,4432.659009
ThI,4433.496624,0.000124,80980,4433.496762
Unkwn,4433.937213,0.000329,1244,
Unkwn,4434.044780,0.000433,1608,
ThII,4434.207391,0.000124,62975,4434.207495
ThI,4434.735785,0.000123,21897,4434.735488
ArII,4435.083078,0.000123,310661,4435.082557
Unkwn,4435.493204,0.000178,969,
ThII,4435.574363,0.000194,802,4435.577115
Contam,4436.202222,0.000122,16438,4436.201548
ThI,4436.537588,0.000125,2862,4436.539714
Unkwn,4436.689118,0.000122,16332,
NoID,4436.923812,0.000123,5491,4436.924095
Unkwn,4437.035320,0.000181,349,
Unkwn,4437.143006,0.000144,696,
ThII,4437.293330,0.000123,5125,4437.293913
Unkwn,4437.388060,0.000135,936,
ThII,4437.529064,0.000122,8764,4437.529925
Unkwn,4437.643577,0.000722,738,
ThII,4437.796711,0.000122,5434,4437.796704
NoID,4437.869747,0.000139,2714,4437.868766
Unkwn,4437.925878,0.000824,478,
NoID,4438.239120,0.000121,10810,4438.241775
Unkwn,4438.335012,0.000255,1343,
ThI,4438.690703,0.000121,6915,4438.690639
ThI,4439.165770,0.000126,1847,4439.166236
Unkwn,4439.690803,0.000142,849,
NoID,4439.803492,0.000128,2273,4439.802306
NoID,4439.871165,0.000135,1730,4439.872323
ThII,4440.369648,0.000119,18219,4440.369941
ArII,4440.707839,0.000118,290158,4440.707520
ThI,4441.520905,0.000118,41244,4441.520956
ThI,4441.600275,0.000118,82916,4441.600024
ThI,4441.742154,0.000138,880,4441.740727
ThII,4441.820403,0.000118,45522,4441.820355
ThII,4442.112750,0.000117,35531,4442.112631
Unkwn,4442.394159,0.002085,652,
ThI,4442.441942,0.000886,1492,4442.441575
ThI,4442.855940,0.000117,42107,4442.855363
Unkwn,4442.910763,0.000332,2892,
Unkwn,4443.761185,0.000127,1160,
ThII,4444.333221,0.000151,8985,4444.333672
ThI,4444.445805,0.000161,1170,4444.448533
ThI,4444.912992,0.000146,53096,4444.913136
NoID,4445.014822,0.000150,5745,4445.015046
Unkwn,4446.105177,0.000148,6888,
Unkwn,4446.226153,0.000475,1884,
ThI,4446.281163,0.000148,27568,4446.281688
ThI,4447.831942,0.000142,11934,4447.831795
ThI,4447.989660,0.000148,1758,4447.990917
ThI,4448.478046,0.000141,13134,4448.477988
Unkwn,4449.030982,0.000603,2271,
ThII,4449.082619,0.000168,22204,4449.083197
NoID,4449.278741,0.000149,1364,4449.279269
ArII,4449.708644,0.000140,42878,4449.708212
ThII,4449.802047,0.000140,8768,4449.802897
ArII,4450.128596,0.000140,444973,4450.127950
ArII,4450.769156,0.000142,15571,4450.770116
NoID,4451.164568,0.000156,979,4451.164120
Unkwn,4451.488903,0.000154,783,
ThI,4452.014760,0.000649,7753,4452.014016
ThI,4452.053749,0.000229,31853,4452.053340
ThII,4452.300171,0.000144,1818,4452.298695
NoID,4452.518157,0.000139,2943,4452.516798
ThI,4452.609569,0.000136,11908,4452.609243
Unkwn,4452.835228,0.000346,516,
ThI,4452.990422,0.000139,2790,4452.989216
ThI,4453.687845,0.000137,4391,4453.686160
ThI,4453.815718,0.000126,338779,4453.815311
NoID,4454.138073,0.000175,1028,4454.138074
NoID,4454.441453,0.000139,2340,4454.440744
Unkwn,4454.538820,0.001026,572,
Unkwn,4454.703941,0.000165,601,
NoID,4454.797022,0.000172,802,4454.796778
ThI,4454.884473,0.000189,1228,4454.882075
ThI,4455.389487,0.000134,7828,4455.389415
NoID,4455.592021,0.000144,1824,4455.589299
ThII,4455.765728,0.000135,4591,4455.763589
Unkwn,4455.983367,0.002229,3639,
Contam,4456.024249,0.000295,30285,4456.024186
ThI,4456.824808,0.000137,2919,4456.824572
ThII,4456.961875,0.000149,1146,4456.963778
NoID,4457.731735,0.000138,4263,4457.731039
Unkwn,4457.802368,0.000790,870,
Unkwn,4457.883471,0.000176,1320,
ThII,4457.959019,0.000137,4663,4457.958955
Unkwn,4458.275963,0.000905,857,
Unkwn,4458.329482,0.001368,545,
Unkwn,4458.399224,0.000163,708,
ThI,4458.487187,0.000135,18976,4458.487233
Unkwn,4458.692924,0.000176,508,
Unkwn,4458.777501,0.000165,571,
Unkwn,4458.892117,0.000137,2262,
ThI,4459.252810,0.000130,385482,4459.252810
NoID,4459.415595,0.001307,611,4459.414461
ThI,4459.466113,0.000492,2011,4459.466643
Unkwn,4459.542641,0.000193,589,
ThI,4459.988962,0.000141,35840,4459.989848
Unkwn,4460.130710,0.000130,12734,
Unkwn,4460.210423,0.000603,7457,
ThI,4460.255721,0.000244,22062,4460.255913
ThI,4461.226829,0.000134,2123,4461.227324
Unkwn,4461.301279,0.000148,833,
NoID,4461.440970,0.000134,2071,4461.440232
ArII,4461.809256,0.000128,57736,4461.808992
Unkwn,4462.020034,0.000132,4458,
ThII,4462.315643,0.000231,3069,4462.314945
ThII,4462.375936,0.000137,6492,4462.376773
ThI,4462.493165,0.000128,202869,4462.493286
Unkwn,4462.621722,0.000402,1081,
ThI,4462.779829,0.000127,215214,4462.779984
Unkwn,4463.950970,0.000425,2575,
ThI,4464.004946,0.000753,1171,4464.005817
ThII,4464.440695,0.000681,1144,4464.439558
ThI,4464.496000,0.000962,731,4464.496841
Unkwn,4464.584513,0.001337,436,
Unkwn,4464.658377,0.000624,1094,
Unkwn,4464.750164,0.001127,453,
ThI,4464.919070,0.000126,68113,4464.918796
ThI,4465.087295,0.000126,23700,4465.087437
ThI,4465.389080,0.000127,5926,4465.391497
ThI,4466.100659,0.000126,7898,4466.101344
Unkwn,4466.210048,0.000130,1979,
ThII,4466.593475,0.000125,44658,4466.593807
NoID,4466.719593,0.000144,852,4466.722631
Unkwn,4466.932949,0.000151,545,
Unkwn,4467.083475,0.000899,465,
Unkwn,4467.171014,0.001009,722,
ThI,4467.228834,0.000178,8499,4467.228461
Unkwn,4467.538925,0.000236,298,
Unkwn,4467.806918,0.000460,1696,
ThI,4467.877697,0.000140,11240,4467.878048
NoID,4467.941107,0.000346,2995,4467.940150
Unkwn,4468.092726,0.000163,402,
Unkwn,4468.255219,0.000177,343,
NoID,4469.012057,0.000414,1735,4469.013292
Unkwn,4469.069450,0.000876,535,
ThI,4469.574913,0.000122,16786,4469.574778
Unkwn,4470.086944,0.000138,710,
ThI,4470.443440,0.000122,9550,4470.443291
Unkwn,4470.613827,0.000128,2022,
ThI,4470.779674,0.000121,121504,4470.779621
ThII,4471.005196,0.000137,999,4471.007575
Unkwn,4471.259098,0.000143,756,
ThI,4471.359005,0.000585,2003,4471.358005
Unkwn,4471.422418,0.002169,691,
Unkwn,4471.515708,0.000122,5583,
Unkwn,4471.743825,0.000149,524,
ThI,4472.245124,0.000120,30836,4472.245313
Unkwn,4472.834652,0.000127,1589,
ThI,4473.125861,0.000120,6575,4473.125809
ThII,4473.231242,0.000120,8010,4473.231318
NoID,4473.433111,0.000359,3362,4473.433827
Unkwn,4473.483528,0.000442,5546,
Unkwn,4473.528031,0.000811,6801,
ThI,4473.874420,0.000121,4077,4473.874886
NoID,4473.955465,0.000126,1505,4473.956391
Unkwn,4474.591491,0.000159,474,
Unkwn,4474.826966,0.000138,923,
Unkwn,4474.935222,0.000119,6679,
ThI,4475.212647,0.000123,2007,4475.213346
ThII,4475.328890,0.000118,9187,4475.328467
ThI,4476.477261,0.000139,187436,4476.477240
ThI,4477.020965,0.000145,8432,4477.021401
Unkwn,4477.749485,0.000124,2592,
ThI,4478.469883,0.000143,3208,4478.472556
Unkwn,4478.723973,0.000137,886,
Unkwn,4479.271468,0.000151,585,
NoID,4479.386960,0.000125,1370,4479.388111
Unkwn,4479.477601,0.000122,1802,
ThI,4479.659855,0.000138,15533,4479.659887
ThI,4479.852244,0.000134,86227,4479.852502
NoID,4480.035766,0.000140,3589,4480.036503
NoID,4480.154701,0.000145,1602,4480.153598
NoID,4480.283280,0.000139,4801,4480.282684
ThII,4480.414237,0.000142,2001,4480.414466
ThI,4480.894162,0.000135,32303,4480.894610
ThI,4481.038279,0.000137,4496,4481.038075
NoID,4481.333385,0.000147,1062,4481.333507
ThI,4481.524984,0.000137,4032,4481.523273
Unkwn,4482.082135,0.000135,89850,
ThI,4482.265536,0.000141,1658,4482.267250
ThII,4482.434413,0.001005,1011,4482.434692
ThI,4482.484963,0.000714,1618,4482.483155
Unkwn,4482.557514,0.000211,7437,
ThI,4482.647746,0.000138,3462,4482.648323
ThI,4483.427312,0.000126,268131,4483.426905
ThI,4484.419371,0.000136,3026,4484.416943
ThI,4484.605209,0.000128,124758,4484.604778
Unkwn,4485.070755,0.000118,3229,
ThI,4485.296569,0.000132,10609,4485.296344
Unkwn,4485.366327,0.000245,1275,
ThII,4485.548094,0.000138,1843,4485.549059
Unkwn,4485.743387,0.000155,777,
NoID,4485.838245,0.000144,1088,4485.837480
NoID,4486.230758,0.000170,728,4486.229887
NoID,4486.595022,0.000143,1164,4486.597141
NoID,4486.785970,0.000208,2586,4486.785240
Unkwn,4486.846337,0.000927,854,
ThI,4486.972169,0.000131,23676,4486.971784
ThII,4487.054087,0.000134,4652,4487.053625
ThI,4487.156006,0.000136,2765,4487.155967
Unkwn,4487.493494,0.000173,615,
ThI,4487.676402,0.000139,1697,4487.676889
ThI,4488.156470,0.000123,441644,4488.156193
NoID,4488.574554,0.000140,1804,4488.574171
ThII,4488.754803,0.000131,76013,4488.754496
ThI,4489.571181,0.000134,27960,4489.571542
ThII,4489.938535,0.000133,87813,4489.940190
Unkwn,4490.647626,0.000167,568,
Unkwn,4490.785439,0.000138,2049,
ThI,4490.924445,0.000136,91300,4490.924152
Unkwn,4490.998939,0.000170,2543,
ThI,4491.197652,0.000150,1563,4491.195978
ThII,4491.455917,0.000146,3003,4491.455612
NoID,4491.932808,0.000145,12254,4491.931386
ArII,4492.242089,0.000148,148198,4492.241293
ThII,4492.966894,0.000732,920,4492.964144
Unkwn,4493.033437,0.002070,310,
ThII,4493.139977,0.000136,2073,4493.139372
ThI,4493.361174,0.000130,17356,4493.360949
ThII,4493.495316,0.000132,4828,4493.493886
ThI,4493.789541,0.001594,1567,4493.791993
ThI,4493.828278,0.001108,2834,4493.831210
ThI,4493.934335,0.000131,5903,4493.935073
ThI,4494.827341,0.000129,25730,4494.827465
ThII,4495.332417,0.000136,1672,4495.333841
ThI,4495.951736,0.000129,15536,4495.951625
Unkwn,4496.127970,0.000986,526,
ThII,4496.223158,0.000131,2904,4496.222624
ThII,4496.497889,0.000132,2380,4496.498853
ThII,4496.749091,0.000134,1678,4496.749071
ThI,4496.856551,0.000130,3639,4496.855637
Unkwn,4497.019127,0.000140,1072,
ThII,4497.572308,0.000128,5316,4497.576919
Unkwn,4497.682257,0.000136,1607,
NoID,4497.899731,0.000268,3972,4497.899521
Unkwn,4497.952831,0.001380,435,
ThI,4498.384986,0.000136,1093,4498.383663
Unkwn,4498.468777,0.000144,733,
Unkwn,4498.550465,0.000251,287,
Unkwn,4498.883171,0.000279,426,
ArII,4499.800996,0.000125,65851,4499.799761
NoID,4500.524069,0.000127,3326,4500.524480
ThI,4500.642333,0.000148,37942,4500.641798
Unkwn,4500.694371,0.000314,8034,
ThI,4500.965520,0.000126,5282,4500.965955
ThI,4501.245534,0.000124,218744,4501.245542
NoID,4502.104606,0.000132,1213,4502.105815
NoID,4502.360825,0.000125,5009,4502.361867
ThI,4502.438342,0.000128,2048,4502.437926
ThI,4502.552822,0.000128,1642,4502.552405
Unkwn,4502.802836,0.000167,371,
Unkwn,4503.643705,0.000135,1036,
ArII,4504.190203,0.000122,118837,4504.189637
Unkwn,4504.645085,0.000665,790,
Unkwn,4504.700365,0.001317,346,
Unkwn,4505.239098,0.000164,422,
NoID,4505.724541,0.000136,794,4505.725820
ThI,4505.894075,0.000121,8507,4505.894147
ThI,4506.480034,0.000120,157069,4506.480373
Unkwn,4506.803246,0.000174,586,
ThI,4506.870019,0.000124,2364,4506.869657
ThI,4507.580955,0.000125,1909,4507.580095
Unkwn,4508.267596,0.000136,1471,
Unkwn,4508.340548,0.000144,1428,
NoID,4508.682553,0.000152,9116,4508.682815
Unkwn,4508.763135,0.000192,721,
ArII,4509.095659,0.000152,8550,4509.097996
ThI,4509.299600,0.000149,21700,4509.300084
ThII,4509.427531,0.000151,6576,4509.427601
Unkwn,4509.793004,0.000119,3915,
ThI,4511.105575,0.000151,2300,4511.107160
ThI,4511.224900,0.000146,9481,4511.223647
ThI,4511.529934,0.000124,2161,4511.530950
ThI,4511.626644,0.000128,2616,4511.626066
NoID,4512.556853,0.000150,2009,4512.558629
ThII,4513.747622,0.000157,8052,4513.748804
NoID,4513.811941,0.000184,2991,4513.811944
ThI,4514.488432,0.000137,99812,4514.488886
ThI,4514.945866,0.000136,111283,4514.945866
ThI,4515.814290,0.000143,2459,4515.816442
Unkwn,4515.965135,0.000199,528,
ThI,4516.384534,0.000125,669244,4516.384569
NoID,4516.663899,0.000142,2776,4516.665035
ThI,4516.893940,0.000139,6009,4516.893897
ThI,4517.228019,0.000137,26456,4517.226887
NoID,4517.332808,0.000137,24514,4517.330671
ThI,4517.806573,0.000116,2976,4517.805494
Unkwn,4517.965477,0.000160,1390,
Unkwn,4518.733001,0.001121,667,
ArII,4518.802562,0.000175,7536,4518.802688
NoID,4518.892810,0.000146,2641,4518.894987
NoID,4519.151601,0.000144,1944,4519.153483
ThIII,4519.539872,0.000187,680,4519.544306
ThI,4519.609377,0.000140,4098,4519.609692
ThI,4520.526615,0.000134,130578,4520.526676
Unkwn,4521.217325,0.000181,518,
Unkwn,4521.299494,0.000159,853,
ThI,4522.326457,0.000142,5410,4522.326136
ThI,4522.462012,0.000106,500708,4522.461876
NoID,4522.517679,0.000222,19916,4522.514379
Unkwn,4522.575726,0.000214,25534,
NoID,4524.729986,0.000156,2328,4524.727591
ThI,4525.397355,0.000157,12282,4525.397633
ThII,4526.107298,0.000132,10007,4526.106756
ThII,4526.359194,0.000132,7679,4526.359091
ThI,4526.456175,0.000136,2272,4526.454424
ThI,4526.714712,0.000134,3387,4526.714687
ThII,4527.297029,0.000134,2552,4527.297859
Unkwn,4528.028386,0.000140,1144,
NoID,4528.187815,0.000132,4362,4528.187148
Unkwn,4528.390001,0.001853,295,
Unkwn,4528.446495,0.000580,1387,
Unkwn,4528.713023,0.000150,683,
NoID,4529.291207,0.000130,13045,4529.290516
NoID,4529.490370,0.000140,1263,4529.490931
ThII,4529.679855,0.000134,1731,4529.679566
ThII,4530.244381,0.000133,2018,4530.243984
Unkwn,4530.337335,0.000299,367,
NoID,4531.193482,0.000130,4231,4531.194773
ThI,4531.589344,0.000127,84447,4531.589468
ArII,4531.822711,0.000127,211160,4531.822453
NoID,4532.650067,0.000138,1055,4532.648639
ThII,4532.983982,0.000127,6143,4532.984141
ThII,4533.528464,0.000126,15534,4533.528522
ThII,4533.698144,0.000130,2030,4533.701666
Unkwn,4533.892368,0.000141,894,
ThI,4534.509812,0.000176,6364,4534.508572
ThII,4534.575149,0.000125,33797,4534.575337
Unkwn,4535.217691,0.000135,1051,
ThII,4535.390400,0.000124,23154,4535.391110
ThI,4535.674124,0.000125,5393,4535.673942
ThI,4536.525997,0.000123,215744,4536.526249
ArII,4536.762641,0.000140,42014,4536.762233
ThI,4536.819246,0.000190,13735,4536.819102
Unkwn,4536.975557,0.001208,666,
NoID,4537.029139,0.000406,2307,4537.029385
Unkwn,4537.133690,0.000558,444,
ThI,4537.251348,0.000123,22590,4537.251669
Unkwn,4537.418626,0.000186,403,
ThI,4537.528789,0.000363,2130,4537.529914
Unkwn,4537.598186,0.001550,461,
ThII,4537.695935,0.000136,905,4537.698340
Unkwn,4537.816835,0.000144,697,
NoID,4538.020917,0.000124,3503,4538.020525
ThI,4538.131712,0.000124,4042,4538.132207
ThII,4538.343682,0.000123,8334,4538.343889
ThI,4538.417030,0.000122,36720,4538.416905
ArII,4538.914504,0.000122,33617,4538.914156
Unkwn,4539.850833,0.000140,755,
ThII,4540.114736,0.000127,1628,4540.112876
ThI,4540.503155,0.000437,2034,4540.501704
Unkwn,4540.562954,0.004124,221,
NoID,4540.997641,0.000124,2244,4540.999144
ThI,4541.528835,0.000263,4653,4541.529673
ThI,4541.586130,0.000231,6022,4541.586497
ThII,4541.680115,0.000121,5491,4541.679151
ThI,4541.839488,0.000121,3788,4541.840582
ThI,4542.272058,0.000145,270322,4542.272168
ThII,4542.477573,0.000157,2644,4542.478830
NoID,4542.621983,0.000157,2580,4542.623211
ThI,4542.776678,0.000156,3138,4542.776001
Unkwn,4543.260940,0.000194,904,
ThI,4543.324532,0.000163,3396,4543.324697
Unkwn,4543.536185,0.000155,548,
Unkwn,4543.701683,0.000143,691,
Unkwn,4543.899613,0.000145,654,
Unkwn,4544.009145,0.001005,812,
Unkwn,4544.067841,0.001390,596,
ThII,4544.483758,0.000169,2091,4544.482481
NoID,4544.551423,0.000229,1875,4544.555818
Unkwn,4544.661124,0.009442,2204,
ThI,4544.689222,0.000880,10965,4544.689096
NoID,4544.917824,0.000140,1264,4544.919030
ThII,4545.787588,0.000146,26945,4545.788248
NoID,4547.667084,0.000177,1227,4547.674245
ThI,4547.951298,0.000144,16659,4547.950399
ThI,4548.109567,0.000146,5469,4548.109442
NoID,4548.342084,0.000216,8322,4548.342122
NoID,4548.401449,0.000204,9454,4548.401434
ThI,4548.524717,0.000141,59455,4548.524593
ArII,4549.034085,0.000144,50366,4549.033146
ThI,4549.601250,0.000187,12978,4549.601155
NoID,4549.658005,0.000415,2880,4549.656381
ThI,4550.255007,0.000145,2747,4550.255851
ThI,4551.109818,0.000142,6094,4551.109568
NoID,4551.459705,0.000146,1793,4551.459969
ThI,4552.749556,0.000140,26369,4552.749561
NoID,4552.818107,0.000496,1886,4552.817341
ThI,4552.873733,0.000447,2327,4552.874137
ThI,4552.985831,0.000142,3480,4552.982861
NoID,4553.095502,0.000142,3800,4553.095778
ThI,4553.429612,0.000137,80732,4553.429691
ThI,4553.501362,0.000149,12442,4553.500871
NoID,4553.727157,0.000204,1275,4553.723134
NoID,4554.146654,0.000143,2487,4554.143810
ThI,4554.540148,0.000146,2248,4554.540294
Unkwn,4554.952719,0.000168,835,
Unkwn,4555.612657,0.000237,4120,
NoID,4555.691391,0.000149,5651,4555.692491
Unkwn,4556.069435,0.000161,844,
Unkwn,4556.238250,0.000199,394,
Unkwn,4556.339057,0.000166,1179,
ThI,4556.422554,0.000146,3910,4556.420337
NoID,4556.582157,0.000151,1669,4556.583296
ThI,4557.089411,0.000135,332529,4557.089769
ThI,4557.181762,0.000135,23393,4557.181665
NoID,4557.485308,0.000150,4124,4557.483318
NoID,4557.664252,0.000148,21844,4557.664425
Unkwn,4558.084838,0.000156,724,
Unkwn,4558.335216,0.000157,693,
NoID,4558.836270,0.000163,1119,4558.834850
Unkwn,4558.908029,0.001086,472,
Unkwn,4559.012363,0.000171,474,
ThI,4559.623668,0.000133,48222,4559.623534
ThI,4559.805235,0.000140,1534,4559.803834
NoID,4559.898563,0.000144,1193,4559.899374
Unkwn,4560.120459,0.000157,681,
ThI,4560.336543,0.000133,8081,4560.335001
ThI,4560.589988,0.000133,11762,4560.590024
Unkwn,4560.738223,0.000153,703,
NoID,4560.933426,0.000136,2340,4560.933774
NoID,4561.459993,0.000137,1895,4561.461502
ThII,4561.672494,0.000136,1945,4561.672889
ThI,4561.942984,0.000136,2019,4561.942005
ArII,4562.291023,0.000131,10179,4562.291163
ThI,4562.505640,0.000131,14758,4562.505458
ThI,4562.626618,0.000130,145718,4562.626238
ThI,4562.684932,0.000249,8536,4562.679886
ThI,4562.773183,0.000131,25038,4562.771820
NoID,4562.891444,0.000134,2406,4562.890178
ThI,4562.982158,0.000732,1117,4562.984078
Unkwn,4563.041521,0.000932,828,
ThI,4563.359202,0.000130,19763,4563.359030
ThI,4563.528542,0.000132,3344,4563.530212
ThI,4563.753210,0.000131,7394,4563.754412
Unkwn,4563.841997,0.000175,431,
Unkwn,4563.911013,0.000162,670,
ThI,4564.001965,0.000137,1445,4564.003735
ThII,4564.495067,0.000131,5667,4564.496796
ThII,4564.571704,0.000130,12063,4564.570614
ThI,4564.940171,0.000129,140324,4564.940075
ArII,4565.022819,0.000131,70215,4565.021368
ThII,4565.458982,0.000130,4711,4565.457517
ArII,4565.685146,0.000128,98860,4565.684700
ThI,4566.114751,0.000128,71142,4566.114887
Unkwn,4566.371238,0.000159,597,
Unkwn,4566.488399,0.000301,3250,
Unkwn,4566.576808,0.001210,544,
Unkwn,4567.648668,0.000257,370,
NoID,4567.709431,0.000144,929,4567.710236
ThII,4567.930209,0.000129,17778,4567.929631
ThI,4567.991254,0.000351,3235,4567.991437
NoID,4568.212804,0.000305,4353,4568.213677
ThI,4568.267974,0.000187,11053,4568.268207
ThI,4568.520019,0.000126,187134,4568.520361
Unkwn,4568.916948,0.000158,441,
Unkwn,4568.996574,0.000151,602,
Unkwn,4569.068357,0.000800,610,
Unkwn,4569.130789,0.000955,509,
ThI,4569.422683,0.000125,50744,4569.422934
ThI,4569.803663,0.000125,14102,4569.803936
Unkwn,4569.925976,0.000139,981,
ThI,4570.428198,0.000124,27296,4570.428301
Unkwn,4570.636057,0.000147,696,
ThI,4570.851016,0.000204,2545,4570.852446
ThI,4570.916700,0.000162,3693,4570.914769
ThI,4571.015510,0.000124,16271,4571.017420
Unkwn,4571.372713,0.000125,4028,
ThI,4572.253220,0.000123,300658,4572.253270
ThI,4572.499978,0.000123,47280,4572.500658
NoID,4572.812827,0.000124,5651,4572.812393
ThI,4573.239096,0.000123,10748,4573.239219
Unkwn,4573.608796,0.000149,552,
Unkwn,4574.173762,0.000123,7573,
ThI,4574.852491,0.000125,2447,4574.855039
ThII,4574.984898,0.000121,21486,4574.985599
ThI,4575.056344,0.000352,1436,4575.051134
ThI,4575.308878,0.000121,14883,4575.309836
ThI,4575.587231,0.000121,8134,4575.587765
ThII,4576.708212,0.000159,3844,4576.708115
Unkwn,4577.557154,0.000843,2536,
Unkwn,4577.599297,0.001391,1115,
NoID,4577.749443,0.000156,5361,4577.749779
ThI,4577.823876,0.000167,1860,4577.825012
ThI,4578.023305,0.000156,4573,4578.023122
Unkwn,4578.122760,0.000172,914,
ThI,4578.246245,0.000133,964,4578.247052
Unkwn,4578.360172,0.001927,396,
NoID,4578.413718,0.000679,1361,4578.413860
ThI,4578.864538,0.000153,8849,4578.865067
Unkwn,4579.053562,0.000338,9755,
ThI,4579.105418,0.000175,39156,4579.106042
ThI,4579.188825,0.000151,31800,4579.189350
Unkwn,4579.530199,0.000190,973,
Unkwn,4579.613613,0.000832,462,
ThI,4581.110678,0.000146,101786,4581.110578
NoID,4582.457378,0.000154,45526,4582.456948
Unkwn,4582.516993,0.000391,3293,
Unkwn,4582.703750,0.000296,4639,
NoID,4582.780470,0.000155,13875,4582.779997
ThII,4582.866963,0.000152,4496,4582.865938
ThII,4583.718861,0.000156,1601,4583.718406
NoID,4583.817145,0.000154,2092,4583.819784
NoID,4583.949553,0.000157,1503,4583.951529
Unkwn,4584.062985,0.000174,764,
ThI,4584.347563,0.000159,1193,4584.346390
ThII,4584.938805,0.000152,3324,4584.938830
NoID,4585.158945,0.000152,3426,4585.159021
Unkwn,4585.325814,0.000150,758,
ThI,4585.531086,0.000253,7625,4585.530119
ThI,4585.584488,0.000629,1713,4585.583592
ThII,4585.652379,0.000157,6961,4585.651680
Unkwn,4585.749030,0.000434,787,
NoID,4585.937310,0.000150,12225,4585.936504
Unkwn,4586.238495,0.000142,7539,
NoID,4586.391940,0.001161,1157,4586.390814
Unkwn,4586.450039,0.001249,1205,
Unkwn,4586.728815,0.000163,650,
Unkwn,4587.103849,0.004558,589,
NoID,4587.149771,0.000733,2270,4587.149230
ThII,4587.554986,0.000155,3177,4587.557438
ThII,4589.041348,0.000158,2884,4589.041449
ArII,4589.177799,0.000158,5582,4589.176485
ThII,4589.511601,0.000158,6179,4589.510824
ThI,4589.712091,0.000148,343036,4589.711843
ThII,4590.407456,0.000161,9875,4590.408120
Unkwn,4592.643221,0.001232,802,
NoID,4592.697757,0.000921,1474,4592.699183
ThI,4592.865545,0.000183,1597,4592.865084
NoID,4593.554813,0.000136,4368,4593.553709
ThI,4593.953223,0.000134,257267,4593.952843
Unkwn,4594.041321,0.000712,1756,
Unkwn,4594.160894,0.000761,898,
ThI,4594.245120,0.000134,11120,4594.244355
ThII,4594.567127,0.000138,2449,4594.568203
ThI,4594.649123,0.000161,875,4594.647156
ArII,4594.734912,0.000141,3848,4594.735042
Unkwn,4594.827888,0.000433,2358,
ThI,4594.931011,0.000133,42218,4594.930818
NoID,4596.249143,0.000146,969,4596.247510
Unkwn,4597.095885,0.000251,608,
ArI,4597.384166,0.000131,419121,4597.384110
Unkwn,4597.463322,0.000287,7341,
ThI,4597.595702,0.000131,49222,4597.595606
Unkwn,4597.992370,0.000219,1064,
Unkwn,4598.075672,0.000198,618,
Unkwn,4598.529622,0.000151,749,
Unkwn,4598.859617,0.000143,1572,
Unkwn,4599.197381,0.000151,894,
Unkwn,4599.342641,0.000190,561,
ThI,4599.725077,0.000131,4953,4599.723886
ArII,4600.051354,0.000129,482020,4600.050877
ThI,4600.227266,0.000129,15171,4600.228610
NoID,4600.512864,0.000149,1944,4600.511078
Unkwn,4600.587473,0.001105,762,
ThII,4600.641724,0.000394,2696,4600.642494
NoID,4600.715366,0.000143,980,4600.714205
Unkwn,4600.807816,0.001599,443,
Unkwn,4600.859513,0.001321,441,
ThI,4600.993402,0.000128,25850,4600.993303
Unkwn,4601.971618,0.000271,331,
Unkwn,4602.071734,0.001010,676,
ThI,4602.161944,0.000129,7549,4602.160738
Unkwn,4602.259758,0.000179,890,
Unkwn,4602.391071,0.000143,906,
Unkwn,4603.230530,0.000131,2120,
Unkwn,4603.332716,0.000146,892,
ThI,4603.709133,0.000130,2479,4603.709954
ThII,4604.175895,0.000126,12576,4604.175700
ThI,4604.433330,0.000126,97576,4604.434166
ThI,4604.657993,0.000127,4401,4604.658269
Unkwn,4605.169317,0.002966,628,
Unkwn,4605.219418,0.001261,1331,
ThII,4605.942579,0.000129,1744,4605.942907
Unkwn,4606.718540,0.000138,1026,
ThI,4607.113922,0.000126,2904,4607.114045
ThI,4608.667809,0.000122,18024,4608.668743
NoID,4608.953661,0.000123,5948,4608.950761
ThI,4609.125995,0.000123,5974,4609.123554
ThI,4609.225106,0.000122,89836,4609.225591
Unkwn,4609.822564,0.000612,1056,
ThI,4609.910452,0.000121,77753,4609.911098
ThI,4611.368155,0.000164,7179,4611.372331
Unkwn,4611.748311,0.000133,1704,
ThI,4611.827121,0.000413,2146,4611.826102
ThI,4611.917916,0.000186,19848,4611.918794
Unkwn,4611.942982,0.002739,3127,
ArII,4612.536158,0.000161,24059,4612.534764
ThI,4613.050540,0.000158,6208,4613.050071
ThII,4613.150907,0.000156,22391,4613.151602
Unkwn,4613.229976,0.000187,920,
ThI,4613.835977,0.000154,25106,4613.835531
