Row,Name,Intensity,Wavelength Ang,Stage,Comment
43840,Xenon,800,5438.96,II,yes
43841,Xenon,300,5445.45,II,yes
43842,Xenon,200,5450.45,II,yes
43843,Xenon,400,5460.39,II,yes
43844,Xenon,1000,5472.61,II,yes
43845,Xenon,100,5494.86,II,yes
43846,Xenon,40,5524.4,III,yes
43847,Xenon,200,5525.53,II,yes
43848,Xenon,600,5531.07,II,yes
43849,Xenon,100,5566.62,I,yes
43850,Xenon,300,5616.67,II,yes
43851,Xenon,300,5659.38,II,yes
43852,Xenon,600,5667.56,II,yes
43853,Xenon,150,5670.91,II,yes
43854,Xenon,100,5695.75,I,yes
43855,Xenon,200,5699.61,II,yes
43856,Xenon,200,5716.10,II,yes
43857,Xenon,500,5726.91,II,yes
43858,Xenon,500,5751.03,II,yes
43859,Xenon,300,5758.65,II,yes
43860,Xenon,300,5776.39,II,yes
43861,Xenon,100,5815.96,II,yes
43862,Xenon,300,5823.89,I,yes
43863,Xenon,150,5824.80,I,yes
43864,Xenon,100,5875.02,I,yes
43865,Xenon,300,5893.29,II,yes
43866,Xenon,100,5894.99,I,yes
43867,Xenon,200,5905.13,II,yes
43868,Xenon,100,5934.17,I,yes
43869,Xenon,500,5945.53,II,yes
43870,Xenon,300,5971.13,II,yes
43871,Xenon,2000,5976.46,II,yes
43872,Xenon,200,6008.92,II,yes
43873,Xenon,1000,6036.20,II,yes
43874,Xenon,2000,6051.15,II,yes
43875,Xenon,600,6093.50,II,yes
43876,Xenon,1500,6097.59,II,yes
43877,Xenon,400,6101.43,II,yes
43878,Xenon,100,6115.08,II,yes
43879,Xenon,100,6146.45,II,yes
43880,Xenon,150,6178.30,I,yes
43881,Xenon,120,6179.66,I,yes
43882,Xenon,300,6182.42,I,yes
43883,Xenon,500,6194.07,II,yes
43884,Xenon,100,6198.26,I,yes
43885,Xenon,60,6205.97,III,yes
43886,Xenon,100,6220.02,II,yes
43887,Xenon,25,6221.7,III,yes
43888,Xenon,60,6238.2,III,yes
43889,Xenon,60,6259.05,III,yes
43890,Xenon,500,6270.82,II,yes
43891,Xenon,400,6277.54,II,yes
43892,Xenon,100,6284.41,II,yes
43893,Xenon,100,6286.01,I,yes
43894,Xenon,250,6300.86,II,yes
43895,Xenon,500,6318.06,I,yes
43896,Xenon,400,6343.96,II,yes
43897,Xenon,600,6356.35,II,yes
43898,Xenon,200,6375.28,II,yes
43899,Xenon,100,6397.99,II,yes
43900,Xenon,300,6469.70,I,yes
43901,Xenon,150,6472.84,I,yes
43902,Xenon,120,6487.76,I,yes
43903,Xenon,100,6498.72,I,yes
43904,Xenon,200,6504.18,I,yes
43905,Xenon,300,6512.83,II,yes
43906,Xenon,200,6528.65,II,yes
43907,Xenon,100,6533.16,I,yes
