Row,Name,Intensity,Wavelength Ang,Stage,Comment
39107,Thorium,8,6240.954,I,
39108,Thorium,50,6242.95,III,
39109,Thorium,10,6257.424,I,
39110,Thorium,21,6261.063,I,
39111,Thorium,21,6261.418,I,
39112,Thorium,50,6274.116,II,yes
39113,Thorium,50,6274.117,II,yes
39114,Thorium,30,6279.172,II,
39115,Thorium,8,6291.192,I,
39116,Thorium,10,6303.251,II,
39117,Thorium,8,6317.185,I,
39118,Thorium,21,6327.278,I,
39119,Thorium,35,6342.860,I,
39120,Thorium,50,6355.911,II,yes
39121,Thorium,14,6369.140,I,
39122,Thorium,40,6376.931,I,
39123,Thorium,30,6411.899,I,
39124,Thorium,24,6413.615,I,
39125,Thorium,15,6437.762,I,
39126,Thorium,15,6450.005,I,
39127,Thorium,60,6457.283,I,yes
39128,Thorium,50,6462.614,I,yes
39129,Thorium,5,6466.717,I,
39130,Thorium,14,6490.738,I,
39131,Thorium,5,6501.992,I,
39132,Thorium,20,6512.364,I,
39133,Thorium,5,6522.044,I,
39134,Thorium,50,6531.342,I,yes
39135,Thorium,6,6554.160,I,
39136,Thorium,5,6558.876,I,
39137,Thorium,3,6565.070,I,
39138,Thorium,5,6577.215,I,
39139,Thorium,24,6583.907,I,
39140,Thorium,24,6588.540,I,
39141,Thorium,24,6593.940,I,
39142,Thorium,50,6599.39,III,
39143,Thorium,24,6605.416,II,
39144,Thorium,24,6619.946,II,
39145,Thorium,24,6619.947,II,
39146,Thorium,21,6644.650,II,
39147,Thorium,6,6658.678,II,
39148,Thorium,30,6662.269,I,
39149,Thorium,6,6674.697,I,
39150,Thorium,3,6683.367,I,
39151,Thorium,8,6692.724,II,
39152,Thorium,5,6697.712,I,
39153,Thorium,2,6711.87,IV,
39154,Thorium,16,6727.459,I,
39155,Thorium,3,6735.126,I,
39156,Thorium,3,6740.37,IV,
39157,Thorium,5,6742.884,I,
39158,Thorium,20,6756.453,I,
39159,Thorium,6,6765.677,I,
39160,Thorium,15,6778.313,I,
39161,Thorium,15,6780.413,I,
39162,Thorium,6,6791.236,I,
39163,Thorium,3,6798.747,I,
39164,Thorium,3,6809.511,I,
39165,Thorium,5,6823.509,I,
39166,Thorium,11,6829.036,I,
39167,Thorium,14,6834.925,I,
39168,Thorium,4,6862.873,I,
39169,Thorium,5,6866.367,I,
39170,Thorium,8,6874.754,I,
39171,Thorium,20,6889.303,II,
39172,Thorium,50,6901.16,IV,
39173,Thorium,3,6908.988,I,
39174,Thorium,24,6911.227,I,
39175,Thorium,5,6916.129,I,
39176,Thorium,5,6936.652,I,
39177,Thorium,35,6943.611,I,
39178,Thorium,5,6954.657,I,
39179,Thorium,15,6965.947,I,
39180,Thorium,3,6981.086,I,
39181,Thorium,55,6989.656,I,yes
39182,Thorium,24,6993.038,II,
39183,Thorium,18,7000.806,I,
39184,Thorium,3,7015.319,I,
39185,Thorium,10,7018.569,I,
39186,Thorium,3,7026.462,I,
39187,Thorium,7,7036.281,I,
39188,Thorium,30,7045.795,II,yes
39189,Thorium,15,7053.619,II,
39190,Thorium,6,7060.654,I,
39191,Thorium,24,7075.333,II,
39192,Thorium,30,7084.171,I,yes
39193,Thorium,24,7089.339,II,
39194,Thorium,10,7100.512,II,
39195,Thorium,3,7109.861,I,
39196,Thorium,11,7124.562,I,
39197,Thorium,3,7132.613,I,
39198,Thorium,5,7148.560,I,
39199,Thorium,10,7154.954,I,
39200,Thorium,30,7168.896,I,yes
39201,Thorium,15,7173.373,I,
39202,Thorium,40,7191.132,II,yes
39203,Thorium,7,7200.046,I,
39204,Thorium,35,7208.006,I,yes
39205,Thorium,11,7212.69,I,
39206,Thorium,10,7217.755,II,
39207,Thorium,11,7218.054,I,
39208,Thorium,3,7242.355,I,
39209,Thorium,5,7255.354,I,
39210,Thorium,3,7270.558,I,
39211,Thorium,7,7284.904,I,
39212,Thorium,5,7298.143,I,
39213,Thorium,11,7305.405,II,
39214,Thorium,5,7315.067,I,
39215,Thorium,7,7324.808,I,
39216,Thorium,5,7339.606,I,
39217,Thorium,8,7341.152,I,
39218,Thorium,5,7361.349,I,
39219,Thorium,5,7384.175,I,
39220,Thorium,18,7385.501,I,
39221,Thorium,3,7393.431,II,
39222,Thorium,5,7402.252,I,
39223,Thorium,3,7418.550,I,
39224,Thorium,21,7428.940,I,
39225,Thorium,10,7430.254,I,
39226,Thorium,3,7444.749,I,
39227,Thorium,50,7461.59,III,
39228,Thorium,2,7462.993,I,
39229,Thorium,10,7481.355,I,
39230,Thorium,2,7493.427,I,
39231,Thorium,50,7525.508,II,yes
39232,Thorium,7,7549.314,I,
39233,Thorium,18,7567.740,I,
39234,Thorium,12,7585.69,I,
39235,Thorium,12,7585.792,I,
39236,Thorium,4,7598.204,I,
39237,Thorium,2,7607.824,I,
39238,Thorium,5,7627.176,I,
39239,Thorium,3,7636.176,I,
39240,Thorium,30,7647.380,I,yes
39241,Thorium,4,7658.324,I,
39242,Thorium,7,7676.219,I,
39243,Thorium,21,7685.305,I,
39244,Thorium,4,7710.269,I,
39245,Thorium,4,7728.951,I,
39246,Thorium,10,7731.72,II,
39247,Thorium,4,7771.948,I,
39248,Thorium,15,7787.79,II,
39249,Thorium,15,7788.937,I,
39250,Thorium,5,7798.360,I,
39251,Thorium,4,7810.625,I,
39252,Thorium,21,7817.771,I,
39253,Thorium,8,7834.459,II,
39254,Thorium,15,7847.540,I,
39255,Thorium,4,7864.023,I,
39256,Thorium,12,7865.95,I,
39257,Thorium,6,7886.284,I,
39258,Thorium,11,7900.31,I,
39259,Thorium,4,7937.732,I,
39260,Thorium,11,7941.72,I,
39261,Thorium,5,7954.594,I,
39262,Thorium,7,7972.598,I,
39263,Thorium,24,7978.974,I,
39264,Thorium,11,7987.97,I,
39265,Thorium,5,7993.680,I,
39266,Thorium,2,8014.502,I,
39267,Thorium,5,8024.253,II,
39268,Thorium,11,8032.433,I,
