Row,Name,Intensity,Wavelength Ang,Stage,Comment
1352,Argon,30,10759.16,I,yes
1353,Argon,7,10812.896,II,yes
1354,Argon,11,11078.869,I,yes
1355,Argon,30,11106.46,I,yes
1356,Argon,12,11441.832,I,yes
1357,Argon,400,11488.109,I,yes
1358,Argon,200,11668.710,I,yes
1359,Argon,12,11719.488,I,yes
1360,Argon,200,12112.326,I,yes
1361,Argon,50,12139.738,I,yes
1362,Argon,50,12343.393,I,yes
1363,Argon,200,12402.827,I,yes
1364,Argon,200,12439.321,I,yes
1365,Argon,100,12456.12,I,yes
1366,Argon,200,12487.663,I,yes
1367,Argon,150,12702.281,I,yes
1368,Argon,30,12733.418,I,yes
1369,Argon,12,12746.232,I,yes
1370,Argon,200,12802.739,I,yes
1371,Argon,50,12933.195,I,yes
1372,Argon,500,12956.659,I,yes
1373,Argon,200,13008.264,I,yes
1374,Argon,200,13213.99,I,yes
1375,Argon,200,13228.107,I,yes
1376,Argon,100,13230.90,I,yes
1377,Argon,500,13272.64,I,yes
1378,Argon,1000,13313.210,I,yes
1379,Argon,1000,13367.111,I,yes
1380,Argon,30,13499.41,I,yes
1381,Argon,1000,13504.191,I,yes
1382,Argon,11,13573.617,I,yes
1383,Argon,30,13599.333,I,yes
1384,Argon,400,13622.659,I,yes
1385,Argon,200,13678.550,I,yes
1386,Argon,1000,13718.577,I,yes
1387,Argon,10,13825.715,I,yes
1388,Argon,10,13907.478,I,yes
1389,Argon,200,14093.640,I,yes
1390,Argon,100,15046.50,I,yes
1391,Argon,25,15172.69,I,yes
1392,Argon,10,15329.34,I,yes
1393,Argon,30,15989.49,I,yes
1394,Argon,30,16519.86,I,yes
1395,Argon,500,16940.58,I,yes
1396,Argon,12,18427.76,I,yes
1397,Argon,50,20616.23,I,yes
1398,Argon,30,20986.11,I,yes
1399,Argon,20,23133.20,I,yes
1400,Argon,20,23966.52,I,yes
