Wavelength,flag,Linetype
4764.3463,m,ThI
4764.8646,a,ArII
4766.6006,a,ThI
4773.2410,m,ThI
4778.2940,a,ThI
4782.7612,m,ThII
4786.5310,m,ThI
4787.1480,m,ThI
4789.3868,a,ThI
4792.0819,m,ArII
4793.2446,m,ThI
4795.9131,m,ThI
4806.0205,a,ArII
4808.1337,a,ThI
4809.6140,a,ThI
4812.3755,m,ThI
4813.8963,a,ThI
4820.8847,a,ThI
4821.5878,a,ThI
4822.8548,a,ThI
4823.6058,a,ThI
4823.9967,m,ThI
4826.7004,a,ThI
4829.7973,m,ThI
4831.1213,a,ThI
4831.5975,m,ThI
4832.8025,a,ThII
4840.8492,a,ThI
4843.9413,m,ThI
4845.1626,m,ThI
4847.8095,a,ArII
4848.3625,m,ThI
4850.4397,m,ThII
4858.3327,a,ThII
4861.2167,m,ThI
4861.7173,m,ThI
4863.1724,a,ThII
4865.4775,a,ThI
4865.9105,a,ArII
4868.8814,m,ThI
4872.9169,a,ThI
4874.3645,a,ThI
4878.0094,m,ThI
4878.7330,a,ThI
4879.8635,a,ArII
4882.2432,a,ArII
4887.947,a,ArI
4889.0422,a,ArII
4894.9551,a,ThI
4902.0545,m,ThI
4904.7516,a,ArII
4910.1576,m,ThI
4912.5293,m,ThII
4919.8157,a,ThII
4927.7803,a,ThI
4933.2091,a,ArII
4936.7746,m,ThI
4937.8295,a,ThI
4939.6422,a,ThI
4943.0642,a,ThI
4945.4587,a,ThI
4950.6264,a,ThII
4956.839,a,ThII
4957.506,a,ThI
4965.0795,a,ArII
4965.7315,m,ThI
4972.1597,a,ArII
4980.1859,m,ThI
4982.4875,a,ThI
4985.3725,a,ThI
4989.3086,m,ThI
4990.0324,a,ThII
4993.7488,m,ThI
5002.0972,a,ThI
5009.3344,a,ArII
5015.8893,m,ThII
5017.1628,a,ArII
5019.8062,a,ThI
5022.0051,m,ThI
5028.6556,a,ThI
5029.8916,m,ThI
5039.2303,a,ThI
5040.6805,m,ThI
5044.7195,a,ThI
5047.0434,a,ThI
5048.9366,a,ThI
5049.7960,m,ThII
5050.7842,a,ThI
5051.8887,m,ThI
5055.3473,m,ThII
5060.079,a,ArI
5062.0371,a,ArII
5064.6020,m,ThI
5064.9454,a,ThI
5066.1355,m,ThI
5067.9737,a,ThI
5079.9079,a,ThI
5081.4462,m,ThI
5084.9935,m,ThI
5090.5455,a,ThI
5096.4848,a,ThI
5098.0432,m,ThII
5100.6211,a,ThI
5109.7331,a,ThI
5111.2781,m,ThI
5115.0448,a,ThI
5118.2023,a,ArI
5125.792,a,ThI
5128.4897,m,ThI
5134.7460,a,ThI
5141.7827,a,ArII
5143.2673,m,ThII
5143.9165,a,ThI
5145.3083,a,ArII
5151.391,a,ArI
5154.2430,a,ThI
5158.6041,a,ThI
5162.2846,a,ArI
5163.4584,m,ThI
5165.7728,a,ArII
5172.9175,a,ThII
5176.4037,a,ThI
5176.9610,a,ThI
5177.6228,a,ThI
5187.7462,a,ArI
5194.4576,m,ThI
5195.8136,a,ThI
5198.7999,m,ThI
5199.1637,a,ThI
5211.2305,a,ThI
5213.3492,a,ThI
5216.5966,m,ThII
5219.1099,a,ThI
5221.2710,a,ArI
5228.2246,m,ThI
5231.1597,a,ThI
5234.1069,m,ThI
5238.8137,a,ThI
5239.5520,m,ThI
5247.6547,a,ThII
5254.471,a,ArI
5258.3602,a,ThI
5260.1041,a,ThI
5264.7824,m,ArII
5266.7103,a,ThI
5269.7927,m,ThI
5277.5002,m,ThII
5283.6959,a,ThI
5286.069,a,ArI
5286.8870,a,ArII
5289.8974,m,ThII
5291.8163,m,ThI
5294.3971,a,ThI
5296.2787,a,ThI
5297.7431,a,ThI
5298.2824,a,ThI
5300.5234,a,ThI
5307.4655,m,ThII
5309.6093,a,ThI
5310.2665,m,ThII
5312.0018,a,ThI
5312.5288,a,ThI
5312.9045,m,ThI
5317.4944,a,ThI
5320.7699,m,ThII
5326.9756,a,ThI
5329.3745,m,ThII
5329.7559,m,ThII
5343.5812,a,ThI
5347.9714,m,ThI
5349.0054,m,ThI
5361.1556,m,ThI
5362.5751,a,ThI
5369.4470,a,ThI
5370.7096,m,ThI
5374.8219,a,Th
5375.3526,m,ThII
