element,sp_num,obs_wl_air(A),unc_obs_wl,intens,Aki(s^-1),Acc,Type,blank
Hg,2,2416.292,0.003,60,1.0e+07,,,
Hg,2,2416.638,0.003,10,2.0e+04,,,
Hg,2,2422.362,0.003,20h,,,,
Hg,2,2426.920,0.003,20,,,,
Hg,2,2427.142,0.003,40,,,,
Hg,3,2431.65,0.10,8,,,,
Hg,2,2436.004,0.003,50,6.8e+05,,,
Hg,1,2441.03,0.02,6,,,,
Hg,1,2446.895,0.004,30,,,,
Hg,2,2458.807,0.003,20h,3.6e+07,,,
Hg,1,2464.057,0.004,20,,,,
Hg,2,2464.357,0.003,3500,2.8e+07,,,
Hg,2,2467.603,0.002,4000,3.8e+07,,,
Hg,2,2469.035,0.002,800,1.8e+02,,,
Hg,2,2472.223,0.003,500,1.8e+07,,,
Hg,1,2478.65,0.13,1.5*,,,E2,
Hg,1,2478.65,0.13,1.5*,,,E2,
Hg,3,2480.56,0.10,5,,,,
Hg,2,2481.218,0.002,4000,1.5e+07,,,
Hg,1,2482.001,0.002,300,,,,
Hg,1,2482.716,0.002,90,,,,
Hg,1,2483.815,0.004,170,,,,
Hg,3,2484.50,0.10,7,,,,
Hg,2,2492.064,0.003,50000,7.8e+07,,,
Hg,2,2493.252,0.003,200,2.4e+06,,,
Hg,2,2498.459,0.003,20,,,,
Hg,2,2499.338,0.003,2000,1.2e+05,,,
Hg,2,2513.493,0.003,12,2.7e+05,,,
Hg,1,2514.37,0.03,,,,,
Hg,2,2514.762,0.002,5000,3.6e+07,,,
Hg,1,2517.49,0.03,,,,,
Hg,1,2519.91,0.03,,,,,
Hg,1,2521.27,0.03,,,,,
Hg,2,2521.678,0.002,300,1.6e+06,,,
Hg,2,2523.324,0.002,1600p,1.2e+06,,,
Hg,2,2523.360,0.003,30u,,,,
Hg,1,2524.20,0.03,,,,,
Hg,1,2524.78,0.13,1,,,E2,
Hg,1,2525.94,0.03,,,,,
Hg,1,2529.53,0.03,,,,,
Hg,2,2530.113,0.003,30,3.3e+05,,,
Hg,1,2531.72,0.03,,,,,
Hg,1,2534.772,0.002,2000,,,,
Hg,1,2536.5210,0.0010,900000,8.40e+06,A+,,
Hg,1,2539.07,0.03,,,,,
Hg,1,2544.94,0.03,,,,,
Hg,2,2545.334,0.003,1500c,1.8e+06,,,
Hg,2,2546.445,0.003,70s,1.8e+05,,,
Hg,2,2547.217,0.003,120,1.2e+07,,,
Hg,1,2548.53,0.03,,,,,
Hg,1,2549.24,0.10,0,,,E2,
Hg,2,2552.835,0.003,1500,1.2e+08,,,
Hg,1,2556.35,0.03,,,,,
Hg,2,2557.724,0.002,1500,1.8e+07,,,
Hg,1,2561.15,0.03,,,,,
Hg,1,2561.33,0.03,,,,,
Hg,1,2561.61,0.03,,,,,
Hg,1,2562.02,0.10,0,,,E2,
Hg,1,2563.855,0.006,40,,,,
Hg,2,2564.385,0.002,150,,,,
Hg,1,2571.76,0.03,,,,,
Hg,2,2574.841,0.002,7000,9.0e+07,,,
Hg,1,2576.285,0.006,100,,,,
Hg,2,2577.408,0.003,12,3.5e+06,,,
Hg,1,2578.39,0.03,,,,,
Hg,1,2578.59,0.03,,,,,
Hg,1,2578.912,0.160,6,,,,
Hg,1,2579.58,0.10,0,,,E2,
Hg,2,2589.071,0.003,15,3.2e+05,,,
Hg,2,2589.833,0.002,15,4.5e+06,,,
Hg,1,2593.41,0.02,1,,,,
Hg,2,2598.395,0.002,1500,1.6e+07,,,
Hg,2,2598.806,0.003,12,2.4e+05,,,
Hg,1,2602.43,0.13,0*,,,E2,
Hg,1,2602.43,0.13,0*,,,E2,
Hg,1,2602.43,0.13,0*,,,E2,
Hg,1,2602.97,0.03,,,,,
Hg,2,2603.096,0.002,8000,1.0e+08,,,
Hg,1,2603.20,0.03,,,,,
Hg,1,2603.42,0.03,,,,,
Hg,1,2603.82,0.03,,,,,
Hg,1,2604.73,0.10,0,,,E2,
Hg,3,2612.92,0.10,2,,,,
Hg,3,2617.97,0.10,4,,,,
Hg,1,2625.192,0.006,20,,,,
Hg,2,2626.646,0.003,8,1.3e+05,,,
Hg,2,2627.851,0.002,15,,,,
Hg,1,2638.95,0.13,0*,,,E2,
Hg,1,2638.95,0.13,0*,,,E2,
Hg,1,2638.95,0.13,0*,,,E2,
Hg,1,2639.780,0.006,6,,,,
Hg,1,2640.15,0.03,,,,,
Hg,1,2640.65,0.03,,,,,
Hg,1,2641.08,0.03,,,,,
Hg,1,2642.48,0.10,0,,,E2,
Hg,1,2642.75,0.13,1*,,,E2,
Hg,1,2642.75,0.13,1*,,,E2,
Hg,1,2652.039,0.006,1600,3.9e+07,B+,,
Hg,2,2653.381,0.002,3000,7.7e+06,,,
Hg,1,2653.690,0.002,6000,,,,
Hg,1,2655.134,0.002,400,1.10e+07B,,
Hg,1,2655.8,0.2,,,,HF,
Hg,2,2663.748,0.002,3000,1.1e+07,,,
Hg,2,2668.682,0.003,15,8.3e+05,,,
Hg,3,2670.49,0.10,3,,,,
Hg,2,2670.967,0.002,30c,6.2e+07,,,
Hg,1,2674.908,0.006,6,,,,
Hg,2,2691.001,0.003,100,3.8e+06,,,
Hg,2,2692.649,0.003,10,,,,
Hg,1,2697.30,0.13,1*,,,E2,
Hg,1,2697.30,0.13,1*,,,E2,
Hg,1,2697.30,0.13,1*,,,E2,
Hg,2,2698.374,0.003,30,4.0e+06,,,
Hg,1,2698.828,0.006,200,,,,
Hg,1,2699.376,0.006,100,,,,
Hg,1,2699.81,0.03,,,,,
Hg,1,2700.80,0.03,,,,,
Hg,2,2702.445,0.003,1500,7.4e+07,,,
Hg,1,2703.50,0.10,0,,,E2,
Hg,2,2705.319,0.002,1000,1.2e+07,,,
Hg,2,2710.431,0.002,150,9.7e+06,,,
Hg,3,2724.43,0.10,70,,,,
Hg,2,2725.310,0.002,15,,,,
Hg,2,2729.481,0.002,120,8.5e+06,,,
Hg,2,2730.417,0.003,8,1.1e+05,,,
Hg,2,2732.602,0.003,100,3.8e+06,,,
Hg,2,2742.801,0.005,3,2.8e+05,,,
Hg,2,2743.193,0.003,5c,1.5e+05,,,
Hg,2,2749.803,0.002,80,5.5e+06,,,
Hg,1,2752.777,0.002,400,6.1e+06B,,
Hg,1,2759.705,0.002,10,,,,
Hg,2,2761.932,0.002,7000,8.3e+07,,,
Hg,2,2764.527,0.003,25w,4.2e+06,,,
Hg,2,2767.460,0.002,500,3.9e+06,,,
Hg,2,2768.897,0.002,25,,,,
Hg,3,2769.22,0.10,6,,,,
Hg,2,2771.266,0.002,40s,,,,
Hg,2,2773.274,0.002,25,1.8e+06,,,
Hg,1,2774.58,0.02,,,,,
Hg,2,2778.511,0.002,150,2.8e+06,,,
Hg,2,2781.902,0.002,2500,2.0e+07,,,
Hg,2,2784.597,0.002,700,2.9e+06,,,
Hg,2,2788.361,0.002,3500,4.3e+06,,,
Hg,2,2790.428,0.002,80,4.0e+07,,,
Hg,2,2796.085,0.002,300,5.5e+06,,,
Hg,2,2797.356,0.002,3000c,1.3e+07,,,
Hg,2,2798.724,0.002,500,6.0e+06,,,
Hg,1,2799.95,0.13,1*,,,E2,
Hg,1,2799.95,0.13,1*,,,E2,
Hg,1,2799.95,0.13,1*,,,E2,
Hg,1,2803.466,0.002,180,,,,
Hg,1,2804.434,0.006,40,,,,
Hg,1,2805.344,0.006,3,,,,
Hg,2,2806.3554,0.0007,75000,8.0e+05,,,
Hg,1,2806.773,0.002,3,,,,
Hg,2,2809.417,0.002,1500,1.6e+07,,,
Hg,1,2810.72,0.06,d,,,E2,
Hg,2,2814.9126,0.0005,400c,,,UT,
Hg,2,2817.803,0.002,700,2.2e+06,,,
Hg,2,2826.572,0.003,30,1.6e+06,,,
Hg,2,2826.911,0.002,120,2.2e+06,,,
Hg,2,2828.841,0.003,40,,,,
Hg,2,2829.495,0.002,200,1.0e+06,,,
Hg,2,2835.654,0.002,35,3.5e+05,,,
Hg,2,2839.005,0.007,10,,,,
Hg,3,2844.76,0.10,3,,,,
Hg,2,2847.6750,0.0010,3500000,3.0e+08,,,
Hg,2,2852.387,0.002,2500,1.1e+07,,,
Hg,1,2856.935,0.002,20,1.1e+06,D+,,
Hg,2,2873.200,0.002,5000,1.8e+07,,,
Hg,2,2882.228,0.002,100,2.2e+05,,,
Hg,2,2882.594,0.002,700,1.3e+07,,,
Hg,2,2892.559,0.003,15h,1.4e+06,,,
Hg,1,2893.6010,0.0010,800,1.57e+07,B+,,
Hg,2,2902.646,0.002,700,1.6e+05,,,
Hg,2,2904.044,0.002,200,,,,
Hg,2,2909.334,0.004,500,9.0e+06,,,
Hg,2,2916.2498,0.0003,300000E,7.8e+05,,,
Hg,1,2925.414,0.002,70,8.e+06,D,,
Hg,2,2935.903,0.004,30000,3.8e+07,,,
Hg,2,2939.026,0.004,2500,7.0e+06,,,
Hg,2,2940.537,0.004,2000,2.2e+07,,,
Hg,2,2947.074,0.004,250000,1.7e+08,,,
Hg,2,2955.125,0.004,1500,9.5e+06,,,
Hg,2,2963.183,0.004,700,8.8e+06,,,
Hg,2,2965.100,0.004,10c,,,,
Hg,2,2966.360,0.004,15,7.2e+04,,,
Hg,1,2967.2830,0.0010,3000,4.6e+07,D,,
Hg,1,2967.52,0.10,1,,,HF,
Hg,2,2974.073,0.004,120,8.0e+06,,,
Hg,2,2975.118,0.004,1200h,1.1e+07,,,
Hg,2,2980.554,0.004,100h,1.6e+06,,,
Hg,2,2981.513,0.004,250,1.1e+06,,,
Hg,2,2986.592,0.004,80h,1.1e+05,,,
Hg,2,2994.420,0.004,140,8.0e+05,,,
Hg,2,2999.553,0.004,10,2.8e+04,,,
Hg,2,3004.385,0.004,300h,6.0e+07,,,
Hg,2,3004.863,0.004,100,6.3e+05,,,
Hg,2,3006.507,0.004,2000,9.5e+06,,,
Hg,1,3007.14,0.06,3,,,E2,
Hg,2,3011.162,0.004,300,1.0e+07,,,
Hg,1,3011.48,0.06,3*,,,E2,
Hg,1,3011.48,0.06,3*,,,E2,
Hg,1,3021.5040,0.0010,1200,5.1e+07,B+,,
Hg,1,3023.471,0.002,300,9.4e+06B,,
Hg,1,3025.606,0.006,30,,,,
Hg,1,3027.490,0.002,60,1.98e+06,C+,,
Hg,2,3034.916,0.004,2000,4.2e+07,,,
Hg,1,3038.45,0.06,,,,E2,
Hg,2,3044.610,0.004,25p,9.2e+03,,,
Hg,2,3045.161,0.004,30w,1.9e+05,,,
Hg,2,3045.161,0.004,30w,6.9e+03,,,
Hg,2,3048.503,0.004,25,2.4e+05,,,
Hg,1,3049.705,0.009,,,,E2,
Hg,2,3055.765,0.004,60,1.8e+06,,,
Hg,2,3064.529,0.004,800,6.0e+06,,,
Hg,2,3067.684,0.004,480,8.0e+06,,,
Hg,2,3069.177,0.004,40,,,,
Hg,2,3070.478,0.004,35,,,,
Hg,2,3087.549,0.004,1100c,,,,
Hg,3,3090.05,0.10,15,,,,
Hg,2,3102.668,0.004,150,,,,
Hg,2,3116.195,0.004,15000,8.8e+06,,,
Hg,1,3125.6740,0.0010,4000,6.6e+07,B+,,
Hg,1,3131.5550,0.0010,3000,,,,
Hg,1,3131.8440,0.0010,4000,,,,
Hg,1,3136.679,0.010,,,,2P,
Hg,2,3139.679,0.004,30,,,,
Hg,1,3144.28,0.06,,,,E2,
Hg,2,3172.116,0.003,40h,1.2e+05,,,
Hg,2,3187.744,0.004,70h,,,,
Hg,2,3191.019,0.003,7500,1.5e+07,,,
Hg,2,3191.591,0.003,35,,,,
Hg,2,3201.385,0.003,2500,1.0e+07,,,
Hg,2,3207.709,0.003,500,,,,
Hg,2,3208.169,0.003,120000,8.2e+07,,,
Hg,2,3227.813,0.003,150h,,,,
Hg,2,3252.076,0.003,450,2.5e+06,,,
Hg,2,3252.916,0.003,100,,,,
Hg,2,3256.018,0.003,80h,,,,
Hg,2,3257.501,0.004,900h,1.0e+07,,,
Hg,2,3261.552,0.011,3G,6.5e+04,,,
Hg,2,3264.039,0.004,60000,2.3e+07,,,
Hg,2,3264.552,0.004,100l,1.4e+06,,,
Hg,2,3277.846,0.004,10000,1.8e+07,,,
Hg,2,3278.104,0.004,100h,4.8e+06,,,
Hg,3,3283.02,0.10,5,,,,
Hg,2,3284.712,0.004,10,1.0e+06,,,
Hg,2,3289.366,0.004,300h,1.3e+04,,,
Hg,1,3304.873,0.011,,,,2P,
Hg,3,3312.28,0.10,12,,,,
Hg,2,3317.279,0.004,700,5.5e+06,,,
Hg,2,3330.001,0.004,150c,3.5e+04,,,
Hg,2,3335.226,0.004,300,,,,
Hg,2,3338.424,0.004,2000c,2.4e+06,,,
Hg,2,3338.709,0.004,30,,,,
Hg,2,3338.964,0.004,50,2.6e+04,,,
Hg,1,3341.4840,0.0010,700,1.68e+07,B+,,
Hg,2,3348.487,0.004,80,,,,
Hg,2,3362.671,0.004,10,5.5e+05,,,
Hg,1,3362.71,0.03,,,,,
Hg,1,3368.15,0.03,,,,,
Hg,1,3371.73,0.03,,,,,
Hg,2,3373.333,0.004,500,,,,
Hg,1,3374.93,0.03,,,,,
Hg,1,3379.44,0.03,,,,,
Hg,1,3383.30,0.03,,,,,
Hg,2,3385.103,0.004,2000c,1.5e+07,,,
Hg,1,3388.78,0.03,,,,,
Hg,3,3389.01,0.10,8,,,,
Hg,1,3393.71,0.03,,,,,
Hg,1,3400.68,0.03,,,,,
Hg,2,3401.389,0.004,200,,,,
Hg,1,3406.99,0.03,,,,,
Hg,1,3415.98,0.03,,,,,
Hg,1,3424.26,0.03,,,,,
Hg,2,3424.789,0.004,400,,,,
Hg,2,3427.310,0.004,100,,,,
Hg,2,3429.584,0.004,1000c,3.5e+03,,,
Hg,1,3436.15,0.03,,,,,
Hg,2,3436.917,0.004,400c,1.1e+06,,,
Hg,1,3446.64,0.03,,,,,
Hg,1,3447.27,0.03,,,,,
Hg,3,3450.77,0.10,5,,,,
Hg,2,3451.689,0.004,30000,1.8e+07,,,
Hg,2,3459.164,0.012,350G,1.5e+05,,,
Hg,1,3463.52,0.03,,,,,
Hg,1,3477.16,0.13,0,,,E2,
Hg,1,3478.04,0.03,,,,,
Hg,1,3478.91,0.03,,,,,
Hg,2,3484.872,0.004,400s,6.0e+06,,,
Hg,2,3488.399,0.004,150,,,,
