element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Ar,2,4710.823,0.0004,C+,,378.0,,N
Ar,4,4711.35,0.02,D,,-2673.0,*,N
Ar,2,4721.5913,0.0005,D,,864.0,,N
Ar,2,4726.8681,0.0001,A,,632934.0,,N
Ar,2,4730.672,0.002,,,189.0,,N
Ar,3,4731.386,0.02,,,189.0,,N
Ar,2,4732.053,0.0001,B,,5400.0,,N
Ar,2,4735.9055,0.0001,A,,27000.0,,N
Ar,4,4740.2,0.02,C,,-2673.0,*,N
Ar,4,4740.2,0.02,D,,-2673.0,*,N
Ar,2,4743.19,0.02,,,0.0,?,N
Ar,2,4757.2197,0.0005,,,135.0,,N
Ar,2,4764.8644,0.0001,B,,63288.0,,N
Ar,3,4772.166,0.02,,,108.0,,N
Ar,2,4786.15,0.002,,,162.0,,N
Ar,2,4792.0818,0.0006,,,459.0,,N
Ar,2,4792.59,0.02,,,0.0,h,N
Ar,2,4793.71,0.02,,,0.0,h,N
Ar,3,4801.368,0.02,,,54.0,,N
Ar,2,4806.0202,0.0001,A,,49140.0,,N
Ar,2,4841.2,0.02,,,13.5,?,N
Ar,2,4847.8095,0.0001,B,,22464.0,,N
Ar,3,4847.846,0.02,,,297.0,,N
Ar,2,4847.9991,0.0011,,,243.0,,N
Ar,2,4856.156,0.008,,,27.0,,N
Ar,2,4865.9109,0.0002,D,,2241.0,,N
Ar,2,4867.5554,0.0006,,,459.0,,N
Ar,2,4877.12,0.005,,,108.0,,N
Ar,2,4879.8634,0.0001,A,,60453.0,,N
Ar,2,4882.2424,0.0007,,,567.0,,N
Ar,2,4888.2605,0.0015,,,216.0,,N
Ar,2,4889.0419,0.0001,C,,7776.0,,N
Ar,3,4891.984,0.02,,,162.0,,N
Ar,2,4904.7514,0.0001,B+,,2889.0,,N
Ar,2,4914.3151,0.0019,,,189.0,,N
Ar,2,4933.2089,0.0001,A,,6777.0,,N
Ar,2,4936.083,0.008,C+,,81.0,,N
Ar,2,4942.921,0.0006,,,513.0,,N
Ar,2,4949.3999,0.0015,,,162.0,,N
Ar,2,4952.924,0.008,D,,54.0,,N
Ar,2,4955.1096,0.0017,,,216.0,,N
Ar,2,4959.478,0.008,,,27.0,,N
Ar,2,4965.0794,0.0001,A,,24057.0,,N
Ar,2,4972.1599,0.0001,B+,,2700.0,,N
Ar,2,4980.025,0.008,,,13.5,,N
Ar,2,4990.72,0.02,,,13.5,?,N
Ar,3,4992.617,0.02,,,270.0,,N
Ar,2,4993.45,0.02,,,13.5,,N
Ar,2,4993.746,0.008,,,54.0,,N
Ar,2,4996.782,0.008,,,54.0,,N
Ar,2,5009.3342,0.0001,B,,9585.0,,N
Ar,2,5014.92,0.02,,,27.0,h,N
Ar,2,5017.1626,0.0001,B,,200151.0,,N
Ar,2,5017.6337,0.0007,B,,378.0,,N
Ar,2,5024.778,0.008,,,27.0,,N
Ar,2,5030.7,0.008,,,27.0,h,N
Ar,2,5034.4,0.02,,,13.5,,N
Ar,2,5037.77,0.04,,,13.5,bl,N
Ar,2,5042.416,0.008,,,27.0,,N
