Ritz_Wavelength_(A),Ritz_Wavelength_Uncertainty_(A),Measured_Wavelength_(A),Measured_Wavelength_Uncertainty_(A),Relative_Intensity,Species,Lower_State_Energy,Lower_State_J,Upper_State_Energy,Upper_State_J,Source,Use
8186.91158,3e-05,8186.91158,3e-05,12000,Th I,8111,4,20322,5_1,RNS13,Y
-1.0,-1.0,8264.5225,0.0003,14454,Ar I,95400,1_1,107496,1,95WHA,Y
8330.449481,1.4e-05,8330.449477,1.4e-05,26000,Th I,7502,3,19503,3_1,RNS13,Y
-1.0,-1.0,8408.2097,0.0003,17783,Ar I,95400,1_1,107290,2,95WHA,Y
-1.0,-1.0,8424.6476,0.0004,18621,Ar I,93751,1_1,105617,2,95WHA,Y
8446.511514,2.1e-05,8446.511521,2.1e-05,16000,Th I,11197,5_1,23032,4,RNS13,Y
8478.357814,2.2e-05,8478.357814,2.2e-05,15000,Th I,5563,1,17354,1_1,RNS13,Y
-1.0,-1.0,8521.4421,0.0004,19055,Ar I,95400,1_1,107132,1,95WHA,Y
8573.120428,2.2e-05,8573.12042,3e-05,7500,Th I,5563,1,17224,2_1,RNS13,Y
-1.0,-1.0,8605.7762,0.0004,234,Ar I,107290,2,118907,2_1,95WHA,Y
8616.22171,0.0001,8616.2222,0.0003,700,Th I,17501,5_1,29104,4,KNS08,Y
-1.0,-1.0,8667.9439,0.0004,15136,Ar I,94554,0_1,106087,1,95WHA,Y
8709.233981,2.3e-05,8709.23399,6e-05,3000,Th I,3687,2,15166,3_1,RNS13,Y
8748.030688,2.3e-05,8748.03071,2.3e-05,10000,Th I,7502,3,18930,3_1,RNS13,Y
8758.243136,2.3e-05,8758.24314,3e-05,7400,Th I,8800,4,20214,3_1,RNS13,Y
8967.639936,1.6e-05,8967.639929,1.6e-05,19000,Th I,8800,4,19948,4_1,RNS13,Y
9048.249631,1.6e-05,9048.249627,1.6e-05,24000,Th I,6362,2,17411,3_1,RNS13,Y
-1.0,-1.0,9122.9676,0.0006,776247,Ar I,93144,2_1,104102,1,95WHA,Y
-1.0,-1.0,9194.6383,0.0003,1862,Ar I,104102,1,114975,1_1,95WHA,Y
-1.0,-1.0,9224.499,0.0003,41687,Ar I,95400,1_1,106238,2,95WHA,Y
9289.5619,3e-05,9289.56189,3e-05,6800,Th I,9804,5,20566,4_1,RNS13,Y
-1.0,-1.0,9354.2197,0.0003,13804,Ar I,95400,1_1,106087,1,95WHA,Y
-1.0,-1.0,9657.7857,0.0004,63096,Ar I,93751,1_1,104102,1,95WHA,Y
