Ritz_Wavelength_(A),Ritz_Wavelength_Uncertainty_(A),Measured_Wavelength_(A),Measured_Wavelength_Uncertainty_(A),Relative_Intensity,Species,Lower_State_Energy,Lower_State_J,Upper_State_Energy,Upper_State_J,Source,Use
5143.916493,2.1e-05,5143.91646,3e-05,2900,Th I,10414,4_1,29849,4,RNS13,Y
5154.243015,1.1e-05,5154.243007,1.3e-05,7800,Th I,7795,4_1,27191,5,RNS13,Y
5158.604198,8e-06,5158.6042,1.1e-05,16000,Th I,2869,3,22248,2_1,RNS13,Y
5176.961122,1.9e-05,5176.961103,2.1e-05,5000,Th I,11197,5_1,30508,5,RNS13,Y
5187.337442,1.1e-05,5187.33738,8e-05,1400,Th I,2869,3,22141,3_1,RNS13,Y
5199.163818,8e-06,5199.163809,1.4e-05,9200,Th I,3865,1,23093,2_1,RNS13,Y
5211.230342,1.1e-05,5211.230339,1.6e-05,6900,Th I,3865,1,23049,1_1,RNS13,Y
5219.109922,1.4e-05,5219.109917,2.5e-05,4400,Th I,8111,4,27266,4_1,RNS13,Y
5231.159561,8e-06,5231.159556,1.1e-05,15000,Th I,2558,0,21668,1_1,RNS13,Y
5238.813761,1.9e-05,5238.81378,5e-05,2100,Th I,7280,2,26363,2_1,RNS13,Y
5247.65463,5e-05,5247.65461,6e-05,1900,Th II,0,3/2,19050,3/2_1,RNS13,Y
5258.360259,1.4e-05,5258.360245,1.4e-05,9200,Th I,3865,1,22877,1_1,RNS13,Y
5266.710207,1.1e-05,5266.710205,2.2e-05,4600,Th I,3687,2,22669,3_1,RNS13,Y
5274.118702,1.4e-05,5274.11873,6e-05,1800,Th I,4961,4,23916,4_1,RNS13,Y
5277.50027,6e-05,5277.50021,0.00017,1300,Th II,10572,9/2_1,29515,9/2,PE83,Y
5297.743059,2.5e-05,5297.74301,5e-05,2000,Th I,8800,4,27670,3_1,RNS13,Y
5312.001673,8e-06,5312.00165,1.7e-05,7300,Th I,3687,2,22508,2_1,RNS13,Y
5326.97568,2.3e-05,5326.97568,3e-05,4400,Th I,8111,4,26878,3_1,RNS13,Y
5343.581188,1.1e-05,5343.581182,1.4e-05,11000,Th I,3687,2,22396,1_1,RNS13,Y
5360.149927,1.4e-05,5360.14998,5e-05,2200,Th I,3687,2,22338,3_1,RNS13,Y
5374.821777,2e-05,5374.82177,6e-05,1800,Th I,3865,1,22465,0_1,RNS13,Y
5376.13043,9e-05,5376.13043,9e-05,4200,Th III,3188,4_1,21783,4,PE83,Y
5386.610306,1.5e-05,5386.61051,3e-05,4700,Th I,4961,4,23521,3_1,RNS13,Y
5394.760657,1.2e-05,5394.76065,3e-05,4100,Th I,3865,1,22396,1_1,RNS13,Y
5407.653551,1.8e-05,5407.653549,2.3e-05,4900,Th I,11197,5_1,29684,5,RNS13,Y
5417.485761,1.2e-05,5417.485755,1.2e-05,12000,Th I,3687,2,22141,3_1,RNS13,Y
5424.007833,2.1e-05,5424.0078,4e-05,2500,Th I,10414,4_1,28845,4,RNS13,Y
5431.111827,1.5e-05,5431.1118,3e-05,3100,Th I,6362,2,24769,3_1,RNS13,Y
5447.15366,7e-05,5447.15366,9e-05,6500,Th III,510,2_1,18863,2,PE83,Y
5464.205242,9e-06,5464.20525,6e-05,1700,Th I,2869,3,21165,3_1,RNS13,Y
5470.75912,3e-05,5470.75906,9e-05,1400,Th I,8111,4,26384,4_1,RNS13,Y
5499.255193,1.2e-05,5499.255205,1.2e-05,11000,Th I,2558,0,20737,1_1,RNS13,Y
5509.993621,2.1e-05,5509.9936,2.1e-05,5400,Th I,9804,5,27948,4_1,RNS13,Y
5514.872964,1.8e-05,5514.87297,3e-05,3500,Th I,7795,4_1,25923,4,RNS13,Y
5524.58262,4e-05,5524.58262,0.00012,1100,Th I,13175,4_1,31271,5,RNS13,Y
5539.261784,1.2e-05,5539.261784,1.2e-05,14000,Th I,9804,5,27852,5_1,RNS13,Y
5548.175946,1.2e-05,5548.175959,2.5e-05,5100,Th I,6362,2,24381,2_1,RNS13,Y
5558.342383,1.9e-05,5558.342395,1.9e-05,6600,Th I,8111,4,26096,3_1,RNS13,Y
5573.353612,1.6e-05,5573.353621,1.6e-05,10000,Th I,8111,4,26048,4_1,RNS13,Y
5579.358402,1.6e-05,5579.358383,2.5e-05,4900,Th I,5563,1,23481,1_1,RNS13,Y
5587.02644,9e-06,5587.026437,1.2e-05,20000,Th I,4961,4,22855,3_1,RNS13,Y
5595.063665,2.2e-05,5595.063684,2.5e-05,4900,Th I,8243,2_1,26111,1,RNS13,Y
5601.603117,1.3e-05,5601.603158,2.5e-05,5000,Th I,0,2,17847,2_1,RNS13,Y
5610.68112,4e-05,5610.68112,5e-05,2300,Th I,11601,1,29419,2_1,RNS13,Y
5615.319533,9e-06,5615.319495,1.9e-05,7100,Th I,3865,1,21668,1_1,RNS13,Y
5633.29505,3e-05,5633.29511,0.00016,800,Th I,10526,3_1,28273,2,RNS13,Y
5639.74631,4e-05,5639.74629,4e-05,2800,Th II,1521,5/2,19248,5/2_1,RNS13,Y
5648.991,1.3e-05,5648.99089,8e-05,1500,Th I,2869,3,20566,4_1,RNS13,Y
5657.9253,5e-05,5657.92539,6e-05,1900,Th I,12847,3,30517,4_1,RNS13,Y
5665.179809,1.9e-05,5665.1798,3e-05,4300,Th I,8243,2_1,25890,2,RNS13,Y
5677.052793,1.9e-05,5677.05266,6e-05,1900,Th I,7795,4_1,25405,4,RNS13,Y
5685.19209,3e-05,5685.19195,0.0001,1100,Th I,8800,4,26384,4_1,RNS13,Y
5691.09746,0.00023,5691.092,0.004,210,Th II,21297,5/2_1,38863,5/2,ZC74,Y
5700.91756,5e-05,5700.9176,6e-05,2200,Th II,4146,7/2,21682,7/2_1,RNS13,Y
5707.10332,4e-05,5707.10332,4e-05,2900,Th II,6213,9/2,23730,9/2_1,RNS13,Y
5720.182645,1e-05,5720.182655,1e-05,31000,Th I,3687,2,21165,3_1,RNS13,Y
5732.97511,0.00013,5732.97534,0.0002,710,Th II,17727,11/2,35165,13/2_1,RNS13,Y
5741.828804,1e-05,5741.82881,7e-05,1700,Th I,0,2,17411,3_1,RNS13,Y
5753.026341,1.7e-05,5753.02631,3e-05,4400,Th I,4961,4,22338,3_1,RNS13,Y
5760.550564,1e-05,5760.550581,1e-05,53000,Th I,0,2,17354,1_1,RNS13,Y
5768.181086,1.7e-05,5768.18113,5e-05,2100,Th I,8111,4,25442,3_1,RNS13,Y
5789.644956,1.7e-05,5789.64495,3e-05,3400,Th I,7502,3,24769,3_1,RNS13,Y
5804.141055,1e-05,5804.141065,1e-05,18000,Th I,0,2,17224,2_1,RNS13,Y
5812.97251,3e-05,5812.9724,0.0001,1200,Th I,10414,4_1,27612,3,RNS13,Y
5832.37044,3e-05,5832.37045,7e-05,1600,Th I,7280,2,24421,3_1,RNS13,Y
5840.64043,3e-05,5840.6405,0.00017,700,Th I,11241,3_1,28358,3,RNS13,Y
5852.680885,2.1e-05,5852.6809,5e-05,2600,Th I,10414,4_1,27495,4,RNS13,Y
5863.718274,1.4e-05,5863.7185,8e-05,1400,Th I,3687,2,20737,1_1,RNS13,Y
5869.85066,3e-05,5869.85072,0.00017,700,Th I,11241,3_1,28273,2,RNS13,Y
5872.60256,0.00014,5872.6027,0.0004,360,Th II,9400,5/2,26424,5/2_1,PE83,Y
5885.701552,1.7e-05,5885.701541,2.4e-05,5200,Th I,9804,5,26790,4_1,RNS13,Y
5891.450945,2.1e-05,5891.45099,3e-05,3400,Th I,10526,3_1,27495,4,RNS13,Y
5914.670798,2.4e-05,5914.670773,2.4e-05,5600,Th I,5563,1,22465,0_1,RNS13,Y
5926.23196,1.8e-05,5926.23199,4e-05,3100,Th I,7795,4_1,24664,3,RNS13,Y
5938.82509,1.4e-05,5938.825104,2.1e-05,6200,Th I,5563,1,22396,1_1,RNS13,Y
5955.56171,6e-05,5955.56169,0.00021,500,Th I,11802,2,28589,3_1,RNS13,Y
5973.664672,1.1e-05,5973.664672,1.1e-05,17000,Th I,3687,2,20423,1_1,RNS13,Y
5994.128646,1.4e-05,5994.128646,1.4e-05,12000,Th I,3865,1,20543,0_1,RNS13,Y
6001.20322,1.8e-05,6001.20319,6e-05,1900,Th I,8111,4,24769,3_1,RNS13,Y
6007.072121,1.8e-05,6007.07212,3e-05,4500,Th I,8800,4,25442,3_1,RNS13,Y
6021.03562,1.5e-05,6021.035631,2.5e-05,5500,Th I,7795,4_1,24399,3,RNS13,Y
6030.444875,1.5e-05,6030.44479,8e-05,1500,Th I,4961,4,21539,4_1,RNS13,Y
6037.697376,1.1e-05,6037.697383,1.8e-05,7500,Th I,3865,1,20423,1_1,RNS13,Y
6038.68038,3e-05,6038.68038,7e-05,1600,Th I,8800,4,25355,4_1,RNS13,Y
6049.050911,1.1e-05,6049.05097,3e-05,5600,Th I,3687,2,20214,3_1,RNS13,Y
6055.593344,2.2e-05,6055.5934,0.0003,380,Th I,13175,4_1,29684,5,RNS13,Y
6077.8728,3e-05,6077.87281,6e-05,2200,Th I,14481,6_1,30930,6,RNS13,Y
6088.030387,1.9e-05,6088.03038,3e-05,4700,Th I,8243,2_1,24664,3,RNS13,Y
6102.594533,1.9e-05,6102.59451,3e-05,4800,Th I,10414,4_1,26796,3,RNS13,Y
6112.83752,5e-05,6112.8376,0.00011,1300,Th II,1859,3/2,18214,3/2_1,RNS13,Y
6124.480482,1.9e-05,6124.48056,7e-05,1800,Th I,7280,2,23603,2_1,RNS13,Y
6137.92587,9e-05,6137.926,0.0004,460,Th I,15493,4,31780,3_1,PE83,Y
6150.68302,3e-05,6150.6825,0.0003,500,Th I,11241,3_1,27495,4,RNS13,Y
6151.99283,3e-05,6151.992728,1.5e-05,10000,Th I,7502,3,23752,2_1,RNS13,Y
6164.479437,1.1e-05,6164.479403,2.3e-05,5700,Th I,0,2,16217,2_1,RNS13,Y
6169.821977,1.1e-05,6169.82197,1.1e-05,18000,Th I,4961,4,21165,3_1,RNS13,Y
6182.621588,1.1e-05,6182.621588,1.1e-05,38000,Th I,2869,3,19039,2_1,RNS13,Y
6188.12503,1.5e-05,6188.125011,2.3e-05,6000,Th I,8243,2_1,24399,3,RNS13,Y
6198.222594,1.2e-05,6198.222594,1.5e-05,9300,Th I,3687,2,19817,1_1,RNS13,Y
6203.492389,1.2e-05,6203.492393,1.2e-05,16000,Th I,4961,4,21077,5_1,RNS13,Y
6224.527113,1.2e-05,6224.527097,1.9e-05,7800,Th I,2869,3,18930,3_1,RNS13,Y
6234.855254,1.6e-05,6234.85523,4e-05,3100,Th I,6362,2,22396,1_1,RNS13,Y
6242.94075,9e-05,6242.94068,0.00023,1500,Th III,4826,3_1,20840,3,PE83,Y
6245.59071,0.00012,6245.601,0.004,540,Th I,19039,2_1,35046,1,Z76,Y
6261.418766,2.4e-05,6261.418099,2e-05,8500,Th I,10414,4_1,26380,5,RNS13,Y
6271.544268,1.6e-05,6271.54421,0.00012,1000,Th I,2869,3,18809,4_1,RNS13,Y
6274.11667,6e-05,6274.11664,7e-05,2000,Th II,4146,7/2,20080,7/2_1,RNS13,Y
6291.19142,4e-05,6291.19129,7e-05,1700,Th I,14481,6_1,30372,6,RNS13,Y
6310.810239,2.4e-05,6310.81047,0.00012,1200,Th I,10414,4_1,26255,4,RNS13,Y
6315.774667,2e-05,6315.77496,0.00016,890,Th I,3687,2,19516,2_1,RNS13,Y
6327.277638,1.6e-05,6327.27763,1.6e-05,6900,Th I,11197,5_1,26997,6,RNS13,Y
6342.859445,1.2e-05,6342.859445,1.2e-05,15000,Th I,8800,4,24561,3_1,RNS13,Y
