element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Hg,1,2380.08,0.03,,,240.0,,Y
Hg,3,2380.55,0.1,,,32.0,,N
Hg,2,2380.918,0.003,,,320.0,,N
Hg,2,2390.152,0.002,,,28000.0,,N
Hg,1,2397.76,0.13,,,8.0,*,Y
Hg,1,2397.76,0.13,,,8.0,*,Y
Hg,1,2399.35,0.03,,,560.0,,Y
Hg,1,2399.727,0.004,,,240.0,,Y
Hg,1,2400.493,0.004,,,112.0,,Y
Hg,2,2407.352,0.003,,,360000.0,,N
Hg,2,2414.142,0.003,,,360000.0,,N
Hg,2,2416.292,0.003,,,480.0,,N
Hg,2,2416.638,0.003,,,80.0,,N
Hg,2,2422.362,0.003,,,160.0,h,N
Hg,2,2426.92,0.003,,,160.0,,N
Hg,2,2427.142,0.003,,,320.0,,N
Hg,3,2431.65,0.1,,,64.0,,N
Hg,2,2436.004,0.003,,,400.0,,N
Hg,1,2441.03,0.02,,,48.0,,Y
Hg,1,2446.895,0.004,,,240.0,,Y
Hg,2,2458.807,0.003,,,160.0,h,N
Hg,1,2464.057,0.004,,,160.0,,Y
Hg,2,2464.357,0.003,,,28000.0,,N
Hg,2,2467.603,0.002,,,32000.0,,N
Hg,2,2469.035,0.002,,,6400.0,,N
Hg,2,2472.223,0.003,,,4000.0,,N
Hg,1,2478.65,0.13,,,12.0,*,Y
Hg,1,2478.65,0.13,,,12.0,*,Y
Hg,3,2480.56,0.1,,,40.0,,N
Hg,2,2481.218,0.002,,,32000.0,,N
Hg,1,2482.001,0.002,,,2400.0,,Y
Hg,1,2482.716,0.002,,,720.0,,Y
Hg,1,2483.815,0.004,,,1360.0,,Y
Hg,3,2484.5,0.1,,,56.0,,N
Hg,2,2492.064,0.003,,,400000.0,,N
Hg,2,2493.252,0.003,,,1600.0,,N
Hg,2,2498.459,0.003,,,160.0,,N
Hg,2,2499.338,0.003,,,16000.0,,N
Hg,2,2513.493,0.003,,,96.0,,N
Hg,1,2514.37,0.03,,,-792.0,--,Y
Hg,2,2514.762,0.002,,,40000.0,,N
Hg,1,2517.49,0.03,,,-792.0,--,Y
Hg,1,2519.91,0.03,,,-792.0,--,Y
Hg,1,2521.27,0.03,,,-792.0,--,Y
Hg,2,2521.678,0.002,,,2400.0,,N
Hg,2,2523.324,0.002,,,12800.0,p,N
Hg,2,2523.36,0.003,,,240.0,u,N
Hg,1,2524.2,0.03,,,-792.0,--,Y
Hg,1,2524.78,0.13,,,8.0,,Y
Hg,1,2525.94,0.03,,,-792.0,--,Y
Hg,1,2529.53,0.03,,,-792.0,--,Y
Hg,2,2530.113,0.003,,,240.0,,N
Hg,1,2531.72,0.03,,,-792.0,--,Y
Hg,1,2534.772,0.002,,,16000.0,,Y
Hg,1,2536.521,0.001,A+,,7200000.0,,Y
Hg,1,2539.07,0.03,,,-792.0,--,Y
Hg,1,2544.94,0.03,,,-792.0,--,Y
Hg,2,2545.334,0.003,,,12000.0,c,N
Hg,2,2546.445,0.003,,,560.0,s,N
Hg,2,2547.217,0.003,,,960.0,,N
Hg,1,2548.53,0.03,,,-792.0,--,Y
Hg,1,2549.24,0.1,,,0.0,,Y
Hg,2,2552.835,0.003,,,12000.0,,N
Hg,1,2556.35,0.03,,,-792.0,--,Y
Hg,2,2557.724,0.002,,,12000.0,,N
Hg,1,2561.15,0.03,,,-792.0,--,Y
Hg,1,2561.33,0.03,,,-792.0,--,Y
Hg,1,2561.61,0.03,,,-792.0,--,Y
Hg,1,2562.02,0.1,,,0.0,,Y
Hg,1,2563.855,0.006,,,320.0,,Y
Hg,2,2564.385,0.002,,,1200.0,,N
Hg,1,2571.76,0.03,,,-792.0,--,Y
Hg,2,2574.841,0.002,,,56000.0,,N
Hg,1,2576.285,0.006,,,800.0,,Y
Hg,2,2577.408,0.003,,,96.0,,N
Hg,1,2578.39,0.03,,,-792.0,--,Y
Hg,1,2578.59,0.03,,,-792.0,--,Y
Hg,1,2578.912,0.16,,,48.0,,Y
Hg,1,2579.58,0.1,,,0.0,,Y
Hg,2,2589.071,0.003,,,120.0,,N
Hg,2,2589.833,0.002,,,120.0,,N
Hg,1,2593.41,0.02,,,8.0,,Y
Hg,2,2598.395,0.002,,,12000.0,,N
Hg,2,2598.806,0.003,,,96.0,,N
Hg,1,2602.43,0.13,,,0.0,*,Y
Hg,1,2602.43,0.13,,,0.0,*,Y
Hg,1,2602.43,0.13,,,0.0,*,Y
Hg,1,2602.97,0.03,,,-792.0,--,Y
Hg,2,2603.096,0.002,,,64000.0,,N
Hg,1,2603.2,0.03,,,-792.0,--,Y
Hg,1,2603.42,0.03,,,-792.0,--,Y
Hg,1,2603.82,0.03,,,-792.0,--,Y
Hg,1,2604.73,0.1,,,0.0,,Y
Hg,3,2612.92,0.1,,,16.0,,N
Hg,3,2617.97,0.1,,,32.0,,N
Hg,1,2625.192,0.006,,,160.0,,Y
Hg,2,2626.646,0.003,,,64.0,,N
Hg,2,2627.851,0.002,,,120.0,,N
Hg,1,2638.95,0.13,,,0.0,*,Y
Hg,1,2638.95,0.13,,,0.0,*,Y
Hg,1,2638.95,0.13,,,0.0,*,Y
Hg,1,2639.78,0.006,,,48.0,,Y
Hg,1,2640.15,0.03,,,-792.0,--,Y
Hg,1,2640.65,0.03,,,-792.0,--,Y
Hg,1,2641.08,0.03,,,-792.0,--,Y
Hg,1,2642.48,0.1,,,0.0,,Y
Hg,1,2642.75,0.13,,,8.0,*,Y
Hg,1,2642.75,0.13,,,8.0,*,Y
Hg,1,2652.039,0.006,B+,,12800.0,,Y
Hg,2,2653.381,0.002,,,24000.0,,N
Hg,1,2653.69,0.002,,,48000.0,,Y
Hg,1,2655.134,0.002,,,3200.0,,Y
Hg,1,2655.8,0.2,,,-792.0,--,Y
Hg,2,2663.748,0.002,,,24000.0,,N
Hg,2,2668.682,0.003,,,120.0,,N
Hg,3,2670.49,0.1,,,24.0,,N
Hg,2,2670.967,0.002,,,240.0,c,N
Hg,1,2674.908,0.006,,,48.0,,Y
Hg,2,2691.001,0.003,,,800.0,,N
Hg,2,2692.649,0.003,,,80.0,,N
Hg,1,2697.3,0.13,,,8.0,*,Y
Hg,1,2697.3,0.13,,,8.0,*,Y
Hg,1,2697.3,0.13,,,8.0,*,Y
Hg,2,2698.374,0.003,,,240.0,,N
Hg,1,2698.828,0.006,,,1600.0,,Y
Hg,1,2699.376,0.006,,,800.0,,Y
Hg,1,2699.81,0.03,,,-792.0,--,Y
Hg,1,2700.8,0.03,,,-792.0,--,Y
Hg,2,2702.445,0.003,,,12000.0,,N
Hg,1,2703.5,0.1,,,0.0,,Y
Hg,2,2705.319,0.002,,,8000.0,,N
Hg,2,2710.431,0.002,,,1200.0,,N
Hg,3,2724.43,0.1,,,560.0,,N
Hg,2,2725.31,0.002,,,120.0,,N
Hg,2,2729.481,0.002,,,960.0,,N
Hg,2,2730.417,0.003,,,64.0,,N
Hg,2,2732.602,0.003,,,800.0,,N
Hg,2,2742.801,0.005,,,24.0,,N
Hg,2,2743.193,0.003,,,40.0,c,N
Hg,2,2749.803,0.002,,,640.0,,N
Hg,1,2752.777,0.002,,,3200.0,,Y
Hg,1,2759.705,0.002,,,80.0,,Y
Hg,2,2761.932,0.002,,,56000.0,,N
Hg,2,2764.527,0.003,,,200.0,w,N
Hg,2,2767.46,0.002,,,4000.0,,N
Hg,2,2768.897,0.002,,,200.0,,N
Hg,3,2769.22,0.1,,,48.0,,N
Hg,2,2771.266,0.002,,,320.0,s,N
Hg,2,2773.274,0.002,,,200.0,,N
Hg,1,2774.58,0.02,,,-792.0,--,Y
Hg,2,2778.511,0.002,,,1200.0,,N
Hg,2,2781.902,0.002,,,20000.0,,N
Hg,2,2784.597,0.002,,,5600.0,,N
Hg,2,2788.361,0.002,,,28000.0,,N
Hg,2,2790.428,0.002,,,640.0,,N
Hg,2,2796.085,0.002,,,2400.0,,N
Hg,2,2797.356,0.002,,,24000.0,c,N
Hg,2,2798.724,0.002,,,4000.0,,N
Hg,1,2799.95,0.13,,,8.0,*,Y
Hg,1,2799.95,0.13,,,8.0,*,Y
Hg,1,2799.95,0.13,,,8.0,*,Y
Hg,1,2803.466,0.002,,,1440.0,,Y
Hg,1,2804.434,0.006,,,320.0,,Y
Hg,1,2805.344,0.006,,,24.0,,Y
