element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Ne,3,2186.5431,0.001,C,,100.0,,N
Ne,2,2187.8,0.03,,,4.0,,N
Ne,3,2190.226,0.01,,,200.0,,N
Ne,2,2190.426,0.01,,,80.0,,N
Ne,3,2191.09,0.01,,,100.0,,N
Ne,3,2191.391,0.01,,,30.0,,N
Ne,4,2192.648,0.01,D,,5.0,,N
Ne,3,2192.716,0.01,,,120.0,,N
Ne,6,2193.3,1.0,,,140.0,,N
Ne,3,2193.825,0.01,D,,50.0,,N
Ne,3,2194.118,0.01,D,,30.0,,N
Ne,3,2194.281,0.01,D,,10.0,,N
Ne,3,2194.862,0.01,C,,90.0,,N
Ne,3,2197.052,0.01,C,,30.0,,N
Ne,3,2197.789,0.01,C,,160.0,,N
Ne,3,2198.334,0.01,D,,30.0,,N
Ne,3,2198.831,0.01,D,,70.0,,N
Ne,3,2199.663,0.01,D,,100.0,,N
Ne,4,2200.78,0.01,D,,8.0,,N
Ne,3,2201.167,0.01,C,,70.0,,N
Ne,3,2202.161,0.01,C,,200.0,,N
Ne,4,2203.85,0.01,D,,18.0,,N
Ne,3,2204.1,0.1,C,,50.0,bl,N
Ne,3,2205.0006,0.001,C,,300.0,,N
Ne,3,2205.901,0.01,C,,180.0,,N
Ne,3,2207.232,0.01,C,,360.0,,N
Ne,3,2209.3151,0.001,C,,400.0,,N
Ne,2,2210.602,0.01,,,12.0,,N
Ne,3,2211.8239,0.001,C,,600.0,,N
Ne,3,2212.577,0.01,C,,200.0,,N
Ne,3,2213.7211,0.001,C,,800.0,,N
Ne,3,2214.728,0.01,C,,200.0,,N
Ne,8,2215.3,1.0,,,70.0,,N
Ne,3,2216.0398,0.001,C,,1000.0,,N
Ne,2,2218.55,0.02,,,16.0,,N
Ne,4,2220.772,0.01,D,,8.0,,N
Ne,5,2224.12,0.02,D,,30.0,,N
Ne,3,2224.598,0.01,D,,160.0,wl*,N
Ne,3,2224.598,0.01,D,,160.0,wl*,N
Ne,3,2224.598,0.01,D,,160.0,wl*,N
Ne,2,2226.33,0.01,,,22.0,,N
Ne,5,2227.42,0.02,D,,80.0,,N
Ne,2,2229.814,0.01,,,22.0,,N
Ne,2,2231.117,0.01,,,22.0,,N
Ne,2,2231.791,0.01,,,80.0,,N
Ne,5,2232.41,0.02,D,,300.0,,N
Ne,2,2234.715,0.01,,,12.0,,N
Ne,2,2235.868,0.01,,,12.0,,N
