element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Xe,3,2139.375,0.05,,,7.0,*,N
Xe,3,2142.129,0.05,,,2.0,,N
Xe,2,2142.25,0.1,,,0.0,,N
Xe,4,2144.01,0.01,,,13.0,,N
Xe,3,2144.189,0.05,,,0.0,,N
Xe,5,2145.16,0.01,,,9.0,,N
Xe,2,2146.31,0.1,,,0.0,,N
Xe,3,2147.683,0.05,,,7.0,,N
Xe,4,2150.91,0.01,,,8.0,,N
Xe,2,2153.08,0.1,,,0.0,a,N
Xe,4,2153.64,0.01,,,9.0,,N
Xe,4,2154.9,0.01,,,12.0,,N
Xe,8,2154.9,0.6,,,-99.0,--,N
Xe,2,2154.9,0.1,,,1.0,,N
Xe,3,2156.896,0.05,,,8.0,,N
Xe,3,2158.96,0.01,,,1.0,,N
Xe,3,2159.33,0.01,,,0.0,u,N
Xe,3,2160.935,0.05,,,7.0,,N
Xe,3,2165.526,0.05,,,3.0,*,N
Xe,3,2165.526,0.05,,,3.0,*,N
Xe,2,2166.05,0.1,,,1.0,,N
Xe,2,2167.84,0.1,,,1.0,,N
Xe,2,2170.4,0.1,,,1.0,,N
Xe,7,2170.5,0.5,,,-99.0,--,N
Xe,4,2170.99,0.01,,,3.0,,N
Xe,2,2171.64,0.1,,,2.0,,N
Xe,3,2172.779,0.05,,,9.0,,N
Xe,4,2173.82,0.01,,,9.0,,N
Xe,2,2176.23,0.1,,,2.0,,N
Xe,2,2178.25,0.1,,,0.0,,N
Xe,3,2179.684,0.05,,,7.0,,N
Xe,5,2184.69,0.01,,,8.0,,N
Xe,3,2185.017,0.05,,,3.0,,N
Xe,4,2185.26,0.01,,,10.0,,N
Xe,4,2186.41,0.01,,,11.0,,N
Xe,4,2187.09,0.01,,,11.0,,N
Xe,4,2188.14,0.01,,,9.0,,N
Xe,3,2189.828,0.05,,,12.0,w,N
Xe,4,2189.83,0.01,,,11.0,,N
Xe,4,2191.24,0.01,,,3.0,,N
Xe,3,2192.428,0.05,,,1.0,,N
Xe,3,2192.78,0.01,,,0.0,,N
Xe,2,2192.78,0.1,,,0.0,,N
Xe,2,2193.48,0.1,,,1.0,*,N
Xe,2,2193.48,0.1,,,1.0,*,N
Xe,4,2194.12,0.01,,,4.0,,N
Xe,3,2194.292,0.05,,,1.0,,N
Xe,3,2197.801,0.05,,,10.0,,N
Xe,3,2198.583,0.05,,,1.0,,N
Xe,3,2199.287,0.05,,,6.0,,N
Xe,3,2199.514,0.05,,,6.0,,N
Xe,3,2202.695,0.05,,,7.0,,N
Xe,3,2203.682,0.05,,,0.0,,N
