element,sp_num,obs_wl_air(A),unc_obs_wl,Grade,blank,intensity,intensity flags,Use
Xe,4,2591.24,0.01,,,6.0,,N
Xe,3,2591.69,0.05,,,10.0,,N
Xe,3,2594.53,0.05,,,7.0,,N
Xe,4,2594.83,0.01,,,1.0,,N
Xe,3,2595.03,0.05,,,7.0,a,N
Xe,2,2597.01,0.1,,,4.0,,N
Xe,2,2598.42,0.1,,,2.0,,N
Xe,3,2600.12,0.05,,,15.0,a,N
Xe,2,2605.54,0.1,,,50.0,,N
Xe,2,2606.93,0.1,,,5.0,,N
Xe,3,2607.5,0.05,,,7.0,bl,N
Xe,2,2607.52,0.1,,,1.0,,N
Xe,3,2608.33,0.01,,,0.0,,N
Xe,4,2608.33,0.01,,,2.0,,N
Xe,3,2608.9,0.05,,,6.0,,N
Xe,3,2610.57,0.05,,,5.0,,N
Xe,3,2611.03,0.05,,,1.0,,N
Xe,3,2613.99,0.05,,,1.0,,N
Xe,3,2615.4,0.01,,,1.0,,N
Xe,6,2616.2,0.8,,,-99.0,--,N
Xe,3,2616.63,0.05,,,1.0,,N
Xe,3,2616.9,0.05,,,0.0,,N
Xe,2,2617.14,0.1,,,0.0,,N
Xe,4,2619.7,0.01,,,11.0,,N
Xe,3,2619.85,0.05,,,8.0,w,N
Xe,2,2621.39,0.1,,,2.0,h,N
Xe,4,2621.78,0.01,,,11.0,,N
Xe,2,2623.17,0.1,,,2.0,,N
Xe,3,2624.52,0.05,,,4.0,,N
Xe,4,2626.98,0.01,,,9.0,,N
Xe,3,2626.98,0.05,,,7.0,,N
Xe,2,2629.54,0.1,,,5.0,h,N
Xe,2,2630.4,0.1,,,6.0,h,N
Xe,4,2633.39,0.01,,,5.0,,N
Xe,2,2633.88,0.1,,,2.0,,N
Xe,3,2634.21,0.05,,,13.0,,N
Xe,3,2637.54,0.05,,,3.0,,N
Xe,3,2639.15,0.05,,,9.0,,N
Xe,2,2640.54,0.1,,,1.0,,N
